task,color,n_trials,n_participants,accuracy,accuracy_se,mean_rt_ms,rt_se_ms
tallest,redundant,816,51,0.9779411764705883,0.005144802825689946,1235.1446078431388,29.810185952784135
tallest,none,816,51,0.988970588235294,0.003658382062319608,1259.2475490196073,28.894462054864423
tallest,conflict,816,51,0.9840686274509803,0.004385917776893885,1275.2745098039231,33.12120997589544
shortest,redundant,816,51,0.963235294117647,0.006591783534377886,1809.8186274509812,51.86892487832476
shortest,none,816,51,0.9534313725490197,0.0073809562939959866,1975.4889705882365,125.13770385647831
shortest,conflict,816,51,0.9595588235294119,0.006900314540377871,1896.9056372549041,48.83092895984489
