id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
28658,5eb59571d84b730b01d4b2ca,1097,1,0,right-6,right,right-dark,dark-up,greater-up,single,2026-03-05 17:40:21.6870000
28659,5eb59571d84b730b01d4b2ca,1030,1,1,right-7,right,right-dark,light-up,fewer-up,single,2026-03-05 17:40:23.9110000
28660,5eb59571d84b730b01d4b2ca,1433,1,2,left-6,left,left-dark,light-up,fewer-up,single,2026-03-05 17:40:26.4770000
28661,5eb59571d84b730b01d4b2ca,994,1,3,left-8,left,left-dark,light-up,fewer-up,single,2026-03-05 17:40:29.0360000
28662,5eb59571d84b730b01d4b2ca,867,0,4,left-4,left,left-dark,light-up,greater-up,single,2026-03-05 17:40:31.1840000
28663,5eb59571d84b730b01d4b2ca,846,0,5,right-0,right,right-dark,light-up,greater-up,single,2026-03-05 17:40:33.6330000
28664,5eb59571d84b730b01d4b2ca,1334,0,6,left-5,left,left-dark,dark-up,fewer-up,single,2026-03-05 17:40:36.5000000
28665,5eb59571d84b730b01d4b2ca,924,1,7,left-2,right,left-dark,light-up,greater-up,single,2026-03-05 17:40:38.7560000
28666,5eb59571d84b730b01d4b2ca,1372,1,8,right-5,right,right-dark,dark-up,greater-up,single,2026-03-05 17:40:41.4390000
28667,5eb59571d84b730b01d4b2ca,555,1,9,right-2,right,right-dark,dark-up,greater-up,single,2026-03-05 17:40:43.4460000
28668,5eb59571d84b730b01d4b2ca,917,1,10,right-3,left,right-dark,light-up,greater-up,single,2026-03-05 17:40:45.7810000
28669,5eb59571d84b730b01d4b2ca,745,1,11,right-1,right,right-dark,light-up,fewer-up,single,2026-03-05 17:40:47.8670000
28670,5eb59571d84b730b01d4b2ca,703,0,12,left-8,left,left-dark,dark-up,fewer-up,single,2026-03-05 17:40:49.7930000
28671,5eb59571d84b730b01d4b2ca,834,0,13,right-1,right,right-dark,dark-up,fewer-up,single,2026-03-05 17:40:51.6740000
28672,5eb59571d84b730b01d4b2ca,838,0,14,left-0,left,left-dark,dark-up,fewer-up,single,2026-03-05 17:40:53.8350000
28673,5eb59571d84b730b01d4b2ca,810,0,15,left-5,right,left-dark,light-up,fewer-up,single,2026-03-05 17:40:55.7890000
28674,5eb59571d84b730b01d4b2ca,769,0,16,left-1,left,left-dark,dark-up,fewer-up,single,2026-03-05 17:40:57.8310000
28675,5eb59571d84b730b01d4b2ca,1102,1,17,right-1,right,right-dark,dark-up,greater-up,single,2026-03-05 17:41:00.2470000
28676,5eb59571d84b730b01d4b2ca,918,0,18,left-1,right,left-dark,dark-up,greater-up,single,2026-03-05 17:41:02.1880000
28677,5eb59571d84b730b01d4b2ca,935,1,19,right-6,left,right-dark,light-up,greater-up,single,2026-03-05 17:41:04.4680000
28678,60ca13ec0bc197cf1fdef3d7,822,1,0,right-9,right,right-dark,dark-up,greater-up,single,2026-03-05 17:41:21.8700000
28679,5eb59571d84b730b01d4b2ca,526,0,20,right-2,right,right-dark,dark-up,fewer-up,single,2026-03-05 17:41:22.1170000
28680,60ca13ec0bc197cf1fdef3d7,565,0,1,left-5,left,left-dark,dark-up,fewer-up,single,2026-03-05 17:41:23.7320000
28681,5eb59571d84b730b01d4b2ca,686,1,21,right-6,right,right-dark,light-up,fewer-up,single,2026-03-05 17:41:23.9130000
28682,5eb59571d84b730b01d4b2ca,497,1,22,right-3,left,right-dark,dark-up,fewer-up,single,2026-03-05 17:41:25.9150000
28683,60ca13ec0bc197cf1fdef3d7,1554,1,2,right-3,right,right-dark,dark-up,greater-up,single,2026-03-05 17:41:26.5130000
28684,5eb59571d84b730b01d4b2ca,709,1,23,left-0,left,left-dark,dark-up,greater-up,single,2026-03-05 17:41:27.8380000
28685,60ca13ec0bc197cf1fdef3d7,1296,1,3,right-5,left,right-dark,light-up,greater-up,single,2026-03-05 17:41:29.2530000
28686,5eb59571d84b730b01d4b2ca,643,1,24,left-7,left,left-dark,dark-up,greater-up,single,2026-03-05 17:41:29.7480000
28687,60ca13ec0bc197cf1fdef3d7,952,1,4,right-4,right,right-dark,dark-up,greater-up,single,2026-03-05 17:41:31.3560000
28688,5eb59571d84b730b01d4b2ca,609,0,25,right-0,right,right-dark,dark-up,fewer-up,single,2026-03-05 17:41:31.8540000
28689,60ca13ec0bc197cf1fdef3d7,830,1,5,left-3,right,left-dark,light-up,greater-up,single,2026-03-05 17:41:33.5340000
28690,5eb59571d84b730b01d4b2ca,496,1,26,left-3,left,left-dark,light-up,fewer-up,single,2026-03-05 17:41:33.8800000
28691,60ca13ec0bc197cf1fdef3d7,630,0,6,right-3,left,right-dark,light-up,fewer-up,single,2026-03-05 17:41:35.3030000
28692,5eb59571d84b730b01d4b2ca,575,0,27,left-9,left,left-dark,dark-up,fewer-up,single,2026-03-05 17:41:35.6950000
28693,60ca13ec0bc197cf1fdef3d7,1214,1,7,right-2,right,right-dark,dark-up,greater-up,single,2026-03-05 17:41:37.9570000
28694,5eb59571d84b730b01d4b2ca,686,1,28,left-8,left,left-dark,dark-up,greater-up,single,2026-03-05 17:41:37.8640000
28695,5eb59571d84b730b01d4b2ca,566,0,29,left-4,left,left-dark,dark-up,fewer-up,single,2026-03-05 17:41:39.5590000
28696,60ca13ec0bc197cf1fdef3d7,1546,1,8,left-0,left,left-dark,light-up,fewer-up,single,2026-03-05 17:41:40.7690000
28697,5eb59571d84b730b01d4b2ca,1030,0,30,right-6,right,right-dark,dark-up,fewer-up,single,2026-03-05 17:41:41.6550000
28698,60ca13ec0bc197cf1fdef3d7,1175,1,9,left-8,left,left-dark,light-up,fewer-up,single,2026-03-05 17:41:43.0420000
28699,5eb59571d84b730b01d4b2ca,644,1,31,right-4,left,right-dark,light-up,greater-up,single,2026-03-05 17:41:43.8380000
28700,60ca13ec0bc197cf1fdef3d7,1080,1,10,right-8,left,right-dark,dark-up,fewer-up,single,2026-03-05 17:41:45.3080000
28701,5eb59571d84b730b01d4b2ca,997,0,32,right-1,right,right-dark,light-up,greater-up,single,2026-03-05 17:41:46.1390000
28702,60ca13ec0bc197cf1fdef3d7,1270,1,11,left-1,right,left-dark,light-up,greater-up,single,2026-03-05 17:41:47.6580000
28703,5eb59571d84b730b01d4b2ca,1002,0,33,left-6,left,left-dark,light-up,greater-up,single,2026-03-05 17:41:48.2950000
28704,60ca13ec0bc197cf1fdef3d7,754,1,12,left-2,right,left-dark,light-up,greater-up,single,2026-03-05 17:41:49.8750000
