id,participant_id,hit,miss,false_alarm,correct_rejection,created_at
199,68097549e4347f7fdce7ffd5,12,2,1,33,2026-03-05 17:46:08.2307441
200,55b5f6b6fdf99b713277dc94,6,5,0,31,2026-03-05 17:59:05.6453346
201,5f4813c94e8b081877fb26a6,25,0,1,23,2026-03-05 18:12:11.6223606
202,63a9a8f2f098b7e45bd03721,21,2,3,30,2026-03-05 18:23:54.1752633
203,6369700320bc7dd22e733009,22,1,0,31,2026-03-05 18:29:24.1512351
204,58c1ce3c3783090001b49355,17,0,3,31,2026-03-05 18:35:07.5110016
205,6543afa5203e223a1e94efcd,22,0,0,30,2026-03-05 19:26:44.7980978
206,66e60882afb732f6e17a6790,19,1,12,20,2026-03-05 20:27:20.8677055
207,655b6992cfadb38c5e155316,17,0,33,0,2026-03-05 20:35:10.2785150
208,698b800e27e7c9d8b47ec9b1,21,2,1,28,2026-03-05 21:22:18.2283007
