id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
24947,65cb86a7e667e637599a3af3,980,0,41,left-6,right,left-dark,dark-up,greater-up,dual,2026-03-02 21:43:40.2910000
24948,65cb86a7e667e637599a3af3,1172,0,42,right-0,left,right-dark,dark-up,greater-up,dual,2026-03-02 21:43:42.9630000
24949,65cb86a7e667e637599a3af3,773,0,43,left-7,left,left-dark,dark-up,fewer-up,dual,2026-03-02 21:43:45.7160000
24950,65cb86a7e667e637599a3af3,1710,0,44,left-1,right,left-dark,dark-up,greater-up,dual,2026-03-02 21:43:48.6790000
24951,65cb86a7e667e637599a3af3,1396,0,45,right-5,left,right-dark,light-up,fewer-up,dual,2026-03-02 21:43:51.8050000
24952,65cb86a7e667e637599a3af3,1485,1,46,left-2,right,left-dark,dark-up,fewer-up,dual,2026-03-02 21:43:55.6480000
24953,65cb86a7e667e637599a3af3,757,0,47,right-7,left,right-dark,dark-up,greater-up,dual,2026-03-02 21:43:58.7310000
24954,65cb86a7e667e637599a3af3,1481,1,48,left-9,left,left-dark,dark-up,greater-up,dual,2026-03-02 21:44:01.7720000
24955,65cb86a7e667e637599a3af3,1322,1,49,right-4,right,right-dark,light-up,fewer-up,dual,2026-03-02 21:44:04.2390000
24956,65cb86a7e667e637599a3af3,1771,1,50,left-3,right,left-dark,dark-up,fewer-up,dual,2026-03-02 21:44:07.7620000
24957,65cb86a7e667e637599a3af3,1544,0,51,right-8,right,right-dark,light-up,greater-up,dual,2026-03-02 21:44:10.3950000
24958,65cb86a7e667e637599a3af3,1638,1,52,left-3,left,left-dark,light-up,fewer-up,dual,2026-03-02 21:44:13.7390000
24959,65cb86a7e667e637599a3af3,1207,0,53,left-7,right,left-dark,light-up,fewer-up,dual,2026-03-02 21:44:16.3130000
24960,65cb86a7e667e637599a3af3,1324,0,54,left-3,left,left-dark,light-up,greater-up,dual,2026-03-02 21:44:18.8630000
24961,65cb86a7e667e637599a3af3,1245,1,55,right-8,right,right-dark,dark-up,greater-up,dual,2026-03-02 21:44:22.0070000
24962,65cb86a7e667e637599a3af3,1382,0,56,left-5,left,left-dark,dark-up,fewer-up,dual,2026-03-02 21:44:24.4630000
24963,65cb86a7e667e637599a3af3,826,0,57,left-2,right,left-dark,dark-up,greater-up,dual,2026-03-02 21:44:26.9820000
24964,65cb86a7e667e637599a3af3,999,1,58,right-5,right,right-dark,dark-up,greater-up,dual,2026-03-02 21:44:29.1160000
24965,65cb86a7e667e637599a3af3,740,1,59,right-9,left,right-dark,dark-up,fewer-up,dual,2026-03-02 21:44:32.2080000
24966,65cb86a7e667e637599a3af3,1365,0,60,right-9,left,right-dark,light-up,fewer-up,dual,2026-03-02 21:44:40.8130000
24967,65cb86a7e667e637599a3af3,1371,0,61,left-8,left,left-dark,dark-up,fewer-up,dual,2026-03-02 21:44:43.8130000
24968,65cb86a7e667e637599a3af3,1399,0,62,left-0,right,left-dark,light-up,fewer-up,dual,2026-03-02 21:44:47.5010000
24969,65cb86a7e667e637599a3af3,NULL,0,63,left-8,none,left-dark,light-up,fewer-up,dual,2026-03-02 21:44:50.7980000
24970,65cb86a7e667e637599a3af3,1209,0,64,left-6,left,left-dark,dark-up,fewer-up,dual,2026-03-02 21:44:54.6760000
24971,65cb86a7e667e637599a3af3,830,1,65,right-3,right,right-dark,dark-up,greater-up,dual,2026-03-02 21:44:57.7930000
24972,65cb86a7e667e637599a3af3,1060,1,66,right-3,left,right-dark,light-up,greater-up,dual,2026-03-02 21:45:00.6980000
24973,65cb86a7e667e637599a3af3,1269,0,67,right-7,right,right-dark,light-up,greater-up,dual,2026-03-02 21:45:04.4310000
24974,65cb86a7e667e637599a3af3,1090,1,68,right-4,left,right-dark,dark-up,fewer-up,dual,2026-03-02 21:45:07.4780000
24975,65cb86a7e667e637599a3af3,612,1,69,right-2,left,right-dark,dark-up,fewer-up,dual,2026-03-02 21:45:09.6300000
24976,65cb86a7e667e637599a3af3,NULL,0,70,left-7,none,left-dark,dark-up,greater-up,dual,2026-03-02 21:45:11.9990000
24977,65cb86a7e667e637599a3af3,1073,0,71,left-4,left,left-dark,light-up,greater-up,dual,2026-03-02 21:45:15.2040000
24978,65cb86a7e667e637599a3af3,828,0,72,left-4,right,left-dark,dark-up,greater-up,dual,2026-03-02 21:45:18.1690000
24979,65cb86a7e667e637599a3af3,1313,1,73,right-7,right,right-dark,light-up,fewer-up,dual,2026-03-02 21:45:21.8080000
24980,65cb86a7e667e637599a3af3,1557,0,74,right-2,left,right-dark,dark-up,greater-up,dual,2026-03-02 21:45:24.3890000
24981,65cb86a7e667e637599a3af3,1127,0,75,left-1,left,left-dark,light-up,greater-up,dual,2026-03-02 21:45:27.1760000
24982,65cb86a7e667e637599a3af3,760,0,76,right-0,right,right-dark,dark-up,fewer-up,dual,2026-03-02 21:45:30.2970000
24983,65cb86a7e667e637599a3af3,743,0,77,left-6,left,left-dark,light-up,greater-up,dual,2026-03-02 21:45:32.4130000
24984,65cb86a7e667e637599a3af3,1271,1,78,left-4,right,left-dark,dark-up,fewer-up,dual,2026-03-02 21:45:35.2000000
24985,65cb86a7e667e637599a3af3,692,0,79,left-4,right,left-dark,light-up,fewer-up,dual,2026-03-02 21:45:38.0030000
24986,678adaaa5d10296603b4b2d6,1267,0,0,right-3,right,right-dark,dark-up,fewer-up,dual,2026-03-02 22:11:41.3870000
24987,678adaaa5d10296603b4b2d6,NULL,0,1,left-3,none,left-dark,light-up,greater-up,dual,2026-03-02 22:11:44.3410000
24988,678adaaa5d10296603b4b2d6,699,0,2,right-1,right,right-dark,light-up,greater-up,dual,2026-03-02 22:11:47.6120000
24989,678adaaa5d10296603b4b2d6,573,0,3,left-8,left,left-dark,light-up,greater-up,dual,2026-03-02 22:11:50.5590000
24990,678adaaa5d10296603b4b2d6,1083,0,4,right-9,right,right-dark,dark-up,fewer-up,dual,2026-03-02 22:11:53.4960000
24991,678adaaa5d10296603b4b2d6,1117,1,5,right-5,left,right-dark,dark-up,fewer-up,dual,2026-03-02 22:11:56.0090000
24992,678adaaa5d10296603b4b2d6,977,0,6,right-4,left,right-dark,dark-up,greater-up,dual,2026-03-02 22:11:58.1250000
24993,678adaaa5d10296603b4b2d6,1618,1,7,left-5,left,left-dark,light-up,fewer-up,dual,2026-03-02 22:12:02.1970000
24994,678adaaa5d10296603b4b2d6,1540,1,8,left-7,right,left-dark,dark-up,fewer-up,dual,2026-03-02 22:12:05.6600000
24995,678adaaa5d10296603b4b2d6,1753,1,9,left-2,left,left-dark,light-up,fewer-up,dual,2026-03-02 22:12:08.5370000
24996,678adaaa5d10296603b4b2d6,1090,1,10,left-1,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:12:11.2700000
24997,678adaaa5d10296603b4b2d6,991,1,11,left-6,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:12:14.3450000
24998,678adaaa5d10296603b4b2d6,1667,1,12,right-8,right,right-dark,light-up,fewer-up,dual,2026-03-02 22:12:18.3300000
24999,678adaaa5d10296603b4b2d6,1663,1,13,left-9,right,left-dark,light-up,greater-up,dual,2026-03-02 22:12:21.2020000
25000,678adaaa5d10296603b4b2d6,1462,1,14,right-4,left,right-dark,dark-up,fewer-up,dual,2026-03-02 22:12:24.0950000
25001,678adaaa5d10296603b4b2d6,1279,1,15,left-4,right,left-dark,dark-up,fewer-up,dual,2026-03-02 22:12:26.9260000
25002,678adaaa5d10296603b4b2d6,1293,1,16,left-2,right,left-dark,light-up,greater-up,dual,2026-03-02 22:12:30.3500000
25003,678adaaa5d10296603b4b2d6,NULL,0,17,left-3,none,left-dark,light-up,fewer-up,dual,2026-03-02 22:12:32.6560000
25004,678adaaa5d10296603b4b2d6,1625,1,18,right-0,right,right-dark,dark-up,greater-up,dual,2026-03-02 22:12:36.2510000
25005,678adaaa5d10296603b4b2d6,1496,1,19,left-8,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:12:40.1840000
25006,678adaaa5d10296603b4b2d6,1432,0,20,right-0,left,right-dark,light-up,fewer-up,dual,2026-03-02 22:12:51.2660000
25007,678adaaa5d10296603b4b2d6,823,1,21,right-6,right,right-dark,dark-up,greater-up,dual,2026-03-02 22:12:53.1680000
25008,678adaaa5d10296603b4b2d6,1722,1,22,left-8,left,left-dark,light-up,fewer-up,dual,2026-03-02 22:12:56.8690000
25009,678adaaa5d10296603b4b2d6,1371,1,23,left-7,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:12:59.4620000
25010,678adaaa5d10296603b4b2d6,934,1,24,left-9,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:13:02.4760000
25011,678adaaa5d10296603b4b2d6,1590,0,25,left-5,left,left-dark,dark-up,fewer-up,dual,2026-03-02 22:13:05.3190000
25012,678adaaa5d10296603b4b2d6,1440,1,26,right-9,left,right-dark,light-up,greater-up,dual,2026-03-02 22:13:08.3780000
25013,678adaaa5d10296603b4b2d6,1503,1,27,left-0,right,left-dark,light-up,greater-up,dual,2026-03-02 22:13:10.9810000
25014,678adaaa5d10296603b4b2d6,NULL,0,28,left-0,none,left-dark,dark-up,fewer-up,dual,2026-03-02 22:13:13.7150000
25015,678adaaa5d10296603b4b2d6,1498,0,29,right-6,left,right-dark,light-up,fewer-up,dual,2026-03-02 22:13:17.9170000
25016,678adaaa5d10296603b4b2d6,1204,1,30,left-7,right,left-dark,light-up,greater-up,dual,2026-03-02 22:13:20.7310000
25017,678adaaa5d10296603b4b2d6,1413,1,31,left-6,right,left-dark,light-up,greater-up,dual,2026-03-02 22:13:23.6970000
25018,678adaaa5d10296603b4b2d6,1346,1,32,right-9,right,right-dark,light-up,fewer-up,dual,2026-03-02 22:13:27.4010000
25019,678adaaa5d10296603b4b2d6,1060,1,33,left-4,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:13:29.4820000
25020,678adaaa5d10296603b4b2d6,1352,1,34,right-7,right,right-dark,dark-up,greater-up,dual,2026-03-02 22:13:32.4460000
25021,678adaaa5d10296603b4b2d6,1185,1,35,right-6,left,right-dark,dark-up,fewer-up,dual,2026-03-02 22:13:35.7720000
25022,678adaaa5d10296603b4b2d6,1229,1,36,left-4,right,left-dark,light-up,greater-up,dual,2026-03-02 22:13:39.0880000
25023,678adaaa5d10296603b4b2d6,1328,1,37,right-7,left,right-dark,dark-up,fewer-up,dual,2026-03-02 22:13:41.4940000
25024,678adaaa5d10296603b4b2d6,1313,1,38,right-1,right,right-dark,light-up,fewer-up,dual,2026-03-02 22:13:44.3940000
25025,678adaaa5d10296603b4b2d6,1347,1,39,left-0,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:13:47.8370000
25026,678adaaa5d10296603b4b2d6,NULL,0,40,right-6,none,right-dark,light-up,greater-up,dual,2026-03-02 22:14:16.5730000
25027,678adaaa5d10296603b4b2d6,NULL,0,41,right-7,none,right-dark,light-up,greater-up,dual,2026-03-02 22:14:19.7400000
25028,678adaaa5d10296603b4b2d6,1018,1,42,right-0,left,right-dark,dark-up,fewer-up,dual,2026-03-02 22:14:23.4460000
25029,678adaaa5d10296603b4b2d6,1731,1,43,right-3,left,right-dark,light-up,greater-up,dual,2026-03-02 22:14:26.7430000
25030,678adaaa5d10296603b4b2d6,1421,1,44,right-8,left,right-dark,light-up,greater-up,dual,2026-03-02 22:14:30.4390000
25031,678adaaa5d10296603b4b2d6,1483,0,45,left-6,right,left-dark,light-up,fewer-up,dual,2026-03-02 22:14:34.3550000
