id,participant_id,response_time,correct,trial_number,stimuli_number,response,slope,legend,statement_type,statement_truth,attention,time_when
1044,699645b8e7a079585e734595,20242,1,1,linechart-real-19-shuffled-main_effect-0-19,left,increasing,shuffled,main_effect,0,single,2026-03-18 21:56:13.084
1045,6991551b7b0c4970e11f07db,15093,1,24,linechart-real-3-shuffled-main_effect-0-5,left,increasing,shuffled,main_effect,0,single,2026-03-18 21:56:38.728
1046,6991551b7b0c4970e11f07db,11794,1,25,linechart-real-5-shuffled-interaction-1-30,right,increasing,shuffled,interaction,1,single,2026-03-18 21:56:51.187
1047,699645b8e7a079585e734595,38942,1,2,linechart-real-5-shuffled-main_effect-0-20,left,increasing,shuffled,main_effect,0,single,2026-03-18 21:56:52.679
1048,6991551b7b0c4970e11f07db,11703,1,26,linechart-real-12-shuffled-interaction-1-10,right,increasing,shuffled,interaction,1,single,2026-03-18 21:57:03.554
1049,6991551b7b0c4970e11f07db,14765,1,27,linechart-real-2-ordered-interaction-1-2,right,increasing,ordered,interaction,1,single,2026-03-18 21:57:18.973
1050,6991551b7b0c4970e11f07db,11035,1,28,linechart-real-6-shuffled-interaction-1-4,right,increasing,shuffled,interaction,1,single,2026-03-18 21:57:30.638
1051,699645b8e7a079585e734595,30385,1,3,linechart-real-26-ordered-main_effect-1-13,right,increasing,ordered,main_effect,1,single,2026-03-18 21:57:23.718
1052,6991551b7b0c4970e11f07db,20915,1,29,linechart-real-17-shuffled-interaction-0-6,left,increasing,shuffled,interaction,0,single,2026-03-18 21:57:52.183
1053,699645b8e7a079585e734595,19259,1,4,linechart-real-11-shuffled-main_effect-0-26,left,increasing,shuffled,main_effect,0,single,2026-03-18 21:57:43.643
1054,6991551b7b0c4970e11f07db,7611,1,30,linechart-real-29-ordered-main_effect-0-29,left,increasing,ordered,main_effect,0,single,2026-03-18 21:58:00.402
1055,6991551b7b0c4970e11f07db,9618,1,31,linechart-real-18-ordered-main_effect-0-0,left,increasing,ordered,main_effect,0,single,2026-03-18 21:58:10.647
1056,699645b8e7a079585e734595,33022,1,5,linechart-real-8-shuffled-interaction-1-6,right,increasing,shuffled,interaction,1,single,2026-03-18 21:58:17.324
1057,699645b8e7a079585e734595,17371,1,6,linechart-real-2-ordered-main_effect-0-0,left,increasing,ordered,main_effect,0,single,2026-03-18 21:58:35.382
1058,699645b8e7a079585e734595,12806,1,7,linechart-real-15-ordered-main_effect-1-25,right,increasing,ordered,main_effect,1,single,2026-03-18 21:58:48.852
1059,699645b8e7a079585e734595,10311,1,8,linechart-real-1-shuffled-interaction-1-12,right,increasing,shuffled,interaction,1,single,2026-03-18 21:59:04.858
1060,699645b8e7a079585e734595,12998,1,9,linechart-real-25-shuffled-interaction-0-18,left,increasing,shuffled,interaction,0,single,2026-03-18 21:59:18.474
1061,699645b8e7a079585e734595,13377,1,10,linechart-real-23-ordered-interaction-0-9,left,increasing,ordered,interaction,0,single,2026-03-18 21:59:32.503
1062,699645b8e7a079585e734595,11718,1,11,linechart-real-31-shuffled-main_effect-1-29,right,increasing,shuffled,main_effect,1,single,2026-03-18 21:59:44.886
1063,699645b8e7a079585e734595,15476,1,12,linechart-real-9-ordered-interaction-1-14,right,increasing,ordered,interaction,1,single,2026-03-18 22:00:00.974
1064,699645b8e7a079585e734595,13377,1,13,linechart-real-3-ordered-interaction-0-27,left,increasing,ordered,interaction,0,single,2026-03-18 22:00:15.022
1065,699645b8e7a079585e734595,18631,1,14,linechart-real-18-shuffled-interaction-0-8,left,increasing,shuffled,interaction,0,single,2026-03-18 22:00:34.312
1066,699645b8e7a079585e734595,15657,1,15,linechart-real-16-ordered-interaction-0-16,left,increasing,ordered,interaction,0,single,2026-03-18 22:00:50.633
1067,699645b8e7a079585e734595,16003,1,16,linechart-real-4-shuffled-interaction-0-24,left,increasing,shuffled,interaction,0,single,2026-03-18 22:01:10.211
1068,699645b8e7a079585e734595,8608,1,17,linechart-real-12-shuffled-main_effect-1-5,right,increasing,shuffled,main_effect,1,single,2026-03-18 22:01:19.470
1069,699645b8e7a079585e734595,9979,1,18,linechart-real-17-shuffled-main_effect-1-15,right,increasing,shuffled,main_effect,1,single,2026-03-18 22:01:30.060
1070,699645b8e7a079585e734595,11386,1,19,linechart-real-10-shuffled-main_effect-0-28,left,increasing,shuffled,main_effect,0,single,2026-03-18 22:01:42.101
1071,699645b8e7a079585e734595,9733,1,20,linechart-real-7-ordered-main_effect-0-4,left,increasing,ordered,main_effect,0,single,2026-03-18 22:01:52.493
1072,699645b8e7a079585e734595,15977,1,21,linechart-real-14-shuffled-interaction-1-7,right,increasing,shuffled,interaction,1,single,2026-03-18 22:02:09.136
1073,699645b8e7a079585e734595,10490,1,22,linechart-real-27-ordered-main_effect-0-30,left,increasing,ordered,main_effect,0,single,2026-03-18 22:02:20.287
1074,699645b8e7a079585e734595,15990,1,23,linechart-real-22-ordered-interaction-0-10,left,increasing,ordered,interaction,0,single,2026-03-18 22:02:36.941
1075,699645b8e7a079585e734595,24133,1,24,linechart-real-0-ordered-main_effect-1-21,right,increasing,ordered,main_effect,1,single,2026-03-18 22:03:03.656
1076,699645b8e7a079585e734595,7251,1,25,linechart-real-29-ordered-interaction-1-17,right,increasing,ordered,interaction,1,single,2026-03-18 22:03:11.521
1077,699645b8e7a079585e734595,12010,1,26,linechart-real-13-shuffled-interaction-0-3,left,increasing,shuffled,interaction,0,single,2026-03-18 22:03:24.148
1078,699645b8e7a079585e734595,6348,1,27,linechart-real-30-ordered-main_effect-1-2,right,increasing,ordered,main_effect,1,single,2026-03-18 22:03:31.156
1079,699645b8e7a079585e734595,11681,1,28,linechart-real-6-ordered-interaction-0-23,left,increasing,ordered,interaction,0,single,2026-03-18 22:03:43.453
1080,699645b8e7a079585e734595,9519,1,29,linechart-real-28-ordered-main_effect-1-22,right,increasing,ordered,main_effect,1,single,2026-03-18 22:03:53.578
1081,699645b8e7a079585e734595,13024,1,30,linechart-real-20-shuffled-main_effect-1-1,right,increasing,shuffled,main_effect,1,single,2026-03-18 22:04:07.210
1082,699645b8e7a079585e734595,13325,1,31,linechart-real-24-ordered-interaction-1-31,right,increasing,ordered,interaction,1,single,2026-03-18 22:04:21.184
1083,6287a504c4cb277cf781b6bb,10726,1,0,linechart-real-31-shuffled-interaction-0-17,left,increasing,shuffled,interaction,0,dual,2026-03-18 22:07:52.217
1084,6287a504c4cb277cf781b6bb,16336,1,1,linechart-real-8-shuffled-interaction-1-8,right,increasing,shuffled,interaction,1,dual,2026-03-18 22:08:09.251
1085,6287a504c4cb277cf781b6bb,9415,1,2,linechart-real-7-ordered-main_effect-1-26,right,increasing,ordered,main_effect,1,dual,2026-03-18 22:08:19.354
1086,6287a504c4cb277cf781b6bb,12345,1,3,linechart-real-22-shuffled-main_effect-1-20,right,increasing,shuffled,main_effect,1,dual,2026-03-18 22:08:32.378
1087,6287a504c4cb277cf781b6bb,10508,1,4,linechart-real-28-shuffled-main_effect-0-19,left,increasing,shuffled,main_effect,0,dual,2026-03-18 22:08:43.591
1088,6287a504c4cb277cf781b6bb,8115,1,5,linechart-real-10-shuffled-main_effect-0-13,left,increasing,shuffled,main_effect,0,dual,2026-03-18 22:08:52.400
1089,6287a504c4cb277cf781b6bb,10207,1,6,linechart-real-11-ordered-main_effect-1-23,right,increasing,ordered,main_effect,1,dual,2026-03-18 22:09:03.278
1090,6287a504c4cb277cf781b6bb,14966,1,7,linechart-real-26-shuffled-interaction-0-16,left,increasing,shuffled,interaction,0,dual,2026-03-18 22:09:18.915
1091,6287a504c4cb277cf781b6bb,9063,1,8,linechart-real-17-ordered-main_effect-1-29,right,increasing,ordered,main_effect,1,dual,2026-03-18 22:11:35.030
1092,6287a504c4cb277cf781b6bb,9582,1,9,linechart-real-30-shuffled-main_effect-1-21,right,increasing,shuffled,main_effect,1,dual,2026-03-18 22:11:45.313
1093,6287a504c4cb277cf781b6bb,9467,1,10,linechart-real-12-ordered-main_effect-0-0,left,increasing,ordered,main_effect,0,dual,2026-03-18 22:11:55.464
1094,6287a504c4cb277cf781b6bb,7550,1,11,linechart-real-29-ordered-interaction-0-22,left,increasing,ordered,interaction,0,dual,2026-03-18 22:12:03.717
1095,6287a504c4cb277cf781b6bb,19325,1,12,linechart-real-3-shuffled-main_effect-1-5,right,increasing,shuffled,main_effect,1,dual,2026-03-18 22:12:23.711
1096,6287a504c4cb277cf781b6bb,20094,1,13,linechart-real-5-shuffled-interaction-1-10,right,increasing,shuffled,interaction,1,dual,2026-03-18 22:12:44.477
1097,6287a504c4cb277cf781b6bb,13782,1,14,linechart-real-15-ordered-main_effect-1-9,right,increasing,ordered,main_effect,1,dual,2026-03-18 22:12:58.954
1098,6287a504c4cb277cf781b6bb,10176,1,15,linechart-real-1-shuffled-interaction-0-30,left,increasing,shuffled,interaction,0,dual,2026-03-18 22:13:09.807
1099,6287a504c4cb277cf781b6bb,7613,1,16,linechart-real-18-shuffled-main_effect-0-4,left,increasing,shuffled,main_effect,0,dual,2026-03-18 22:13:30.331
1100,6287a504c4cb277cf781b6bb,13493,1,17,linechart-real-9-ordered-interaction-0-6,left,increasing,ordered,interaction,0,dual,2026-03-18 22:13:44.505
1101,6287a504c4cb277cf781b6bb,21662,1,18,linechart-real-27-shuffled-interaction-0-11,left,increasing,shuffled,interaction,0,dual,2026-03-18 22:14:06.874
1102,6287a504c4cb277cf781b6bb,13612,1,19,linechart-real-0-ordered-interaction-0-18,left,increasing,ordered,interaction,0,dual,2026-03-18 22:14:21.185
1103,6287a504c4cb277cf781b6bb,8499,1,20,linechart-real-25-ordered-main_effect-0-1,left,increasing,ordered,main_effect,0,dual,2026-03-18 22:14:30.364
1104,6287a504c4cb277cf781b6bb,11564,1,21,linechart-real-14-ordered-interaction-1-31,right,increasing,ordered,interaction,1,dual,2026-03-18 22:14:42.610
1105,6287a504c4cb277cf781b6bb,6673,1,22,linechart-real-6-shuffled-main_effect-0-25,left,increasing,shuffled,main_effect,0,dual,2026-03-18 22:14:49.964
1106,6287a504c4cb277cf781b6bb,7862,1,23,linechart-real-19-ordered-main_effect-1-15,right,increasing,ordered,main_effect,1,dual,2026-03-18 22:14:58.494
1107,6287a504c4cb277cf781b6bb,7348,1,24,linechart-real-23-ordered-interaction-1-24,right,increasing,ordered,interaction,1,dual,2026-03-18 22:16:00.252
1108,6287a504c4cb277cf781b6bb,7780,1,25,linechart-real-2-ordered-interaction-0-14,left,increasing,ordered,interaction,0,dual,2026-03-18 22:16:08.703
