id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
24650,test1,874,0,66,left-6,right,left-dark,light-up,fewer-up,dual,54:17.5
24651,test1,869,1,67,right-3,right,right-dark,dark-up,greater-up,dual,54:20.9
24652,test1,757,0,68,right-9,left,right-dark,light-up,fewer-up,dual,54:23.6
24653,test1,1436,1,69,left-1,left,left-dark,light-up,fewer-up,dual,54:27.0
24654,test1,839,1,70,left-8,right,left-dark,light-up,greater-up,dual,54:29.6
24655,test1,1432,1,71,right-6,left,right-dark,dark-up,fewer-up,dual,54:32.9
24656,test1,1234,0,72,right-1,right,right-dark,dark-up,fewer-up,dual,54:36.3
24657,test1,830,1,73,right-5,right,right-dark,light-up,fewer-up,dual,54:39.3
24658,test1,802,0,74,right-2,left,right-dark,light-up,fewer-up,dual,54:42.4
24659,test1,1443,1,75,left-8,right,left-dark,dark-up,fewer-up,dual,54:45.0
24660,test1,1424,1,76,left-8,left,left-dark,light-up,fewer-up,dual,54:48.6
24661,test1,978,0,77,right-3,right,right-dark,light-up,greater-up,dual,54:51.6
24662,test1,1385,1,78,right-2,left,right-dark,light-up,greater-up,dual,54:54.1
24663,test1,966,1,79,left-9,left,left-dark,dark-up,greater-up,dual,54:56.4
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
