id,participant_id,hit,miss,false_alarm,correct_rejection,created_at
210,696a651a32c5d3c0adb0b7cc,30,0,5,20,2026-03-14 15:30:16.9737783
211,668c2c3b1c453af22c1e1e31,25,0,5,19,2026-03-14 15:36:04.3649634
212,66a83f244414aaec48b22552,15,0,2,23,2026-03-14 15:44:04.9355113
213,60fcc7651cb27f1770cc7ad2,29,0,0,21,2026-03-14 15:44:08.3081353
214,5d537c0cecc84200153075e9,14,4,4,20,2026-03-14 15:44:12.3988715
215,5e6685e1ffed4c405a4db5d0,26,0,3,23,2026-03-14 15:45:15.1958094
216,6024c18b094ac71dd93f4f5a,21,0,3,30,2026-03-14 15:45:46.3679193
217,5beccd423b6489000156596f,22,0,2,22,2026-03-14 15:46:12.9650837
218,65b549c67c7791499c09f8a2,19,8,7,17,2026-03-14 15:46:30.1696271
219,69934339b08d5f0fffb145f4,17,4,1,30,2026-03-14 15:47:35.9028052
220,665f81442e9eb2f969a3a4b1,15,8,1,26,2026-03-14 15:48:24.4451244
221,5dcea4c3bc83380fe65dba2a,28,0,4,24,2026-03-14 15:50:35.1539601
222,5e9f3deb12d01a0b806e57b7,22,0,4,29,2026-03-14 15:50:48.6297991
223,69925949caa087a146b8dccd,20,0,0,34,2026-03-14 15:51:10.0435219
224,60bc8860d04f4ac80d319a5c,1,18,3,29,2026-03-14 15:52:23.5153536
225,615e420a23219efe3427a367,17,2,0,39,2026-03-14 15:52:26.1426086
226,69acf86d93afc119933913e5,14,3,2,36,2026-03-14 15:52:42.6851050
227,695bd68349914a703c6a9e80,0,20,0,28,2026-03-14 15:53:05.1101346
228,6984a9d17c365f6f621d7fe7,18,2,4,24,2026-03-14 15:53:20.4626900
229,65fcab5ed252c205f819b116,15,0,4,27,2026-03-14 15:53:51.3033984
230,66b3e078bef7d6dd6c53e015,25,0,0,24,2026-03-14 15:54:34.0321270
231,604fe822b095421e07e3f93e,19,0,1,33,2026-03-14 15:54:36.7315050
232,6544ff9e0fb2eaaf83e2de5c,29,0,1,28,2026-03-14 15:55:10.9297306
233,69adf22dc3c63cb295877200,17,0,3,35,2026-03-14 15:56:18.0789911
234,5c309bb410677f0001dda0ed,11,9,4,23,2026-03-14 15:56:34.4364747
235,6991e46740117ca6ef90cd7c,15,2,10,32,2026-03-14 15:56:49.8609615
236,67164d40becf6c95181afe97,15,0,0,37,2026-03-14 15:56:53.3795826
237,66d1fdd400acfdbc181f41e0,13,4,30,8,2026-03-14 15:56:55.7847059
238,5c2d187569ceff00011417de,17,2,3,18,2026-03-14 15:58:35.9285218
239,663cceb7909a43d4d01e0c24,13,2,5,24,2026-03-14 15:59:21.2234956
240,69a5c155a852c9a8ab7762fa,15,0,0,36,2026-03-14 16:01:52.8022218
241,5de7d12c26dd95000b6824c5,23,2,0,28,2026-03-14 16:03:02.4823422
242,671bfa2f8751aef24b7d0b3a,9,1,8,25,2026-03-14 16:03:58.0656195
243,671ab0904de8eb7273ae9d42,19,0,3,31,2026-03-14 16:04:35.7360861
244,6983d70423bcb8acb217e6c9,14,3,3,32,2026-03-14 16:14:14.4195280
245,698b56669942057664689445,16,0,6,22,2026-03-14 16:16:22.8510712
246,5fb156d6e16ee65ed2558d7c,19,3,16,11,2026-03-14 16:20:18.4915366
247,5ecc6ffce3ca77849333e83e,3,14,7,20,2026-03-14 16:20:21.9223124
248,6664a1634453306b040667c8,19,2,35,0,2026-03-14 16:20:46.5360568
249,69b473c6ef06fe86d13fca62,17,1,0,32,2026-03-14 16:21:31.4849068
250,61bb396840db417c1a138e3d,8,9,6,18,2026-03-14 16:21:47.3091501
251,69adc20056851fd7e8fc3ccf,23,0,1,29,2026-03-14 16:25:45.3332656
252,69b306d0aabcb968f7ca7ec5,20,2,2,31,2026-03-14 16:27:06.4525248
253,69a2031dab8373c829ee7358,12,1,0,36,2026-03-14 16:29:48.0637149
254,69a487baa6a180f22544ba20,22,0,4,24,2026-03-14 16:30:53.7991025
255,67daaf1bd5692a92530dcadb,19,0,6,16,2026-03-14 16:34:55.8230288
256,6606f138695c55157b90291c,20,2,2,29,2026-03-14 16:35:13.7959158
257,697ed59824964096e537d7d3,13,1,0,23,2026-03-14 16:36:20.9729035
258,69829bc1224b28f0538900d5,10,4,7,19,2026-03-14 16:40:13.5656161
259,58cbd0a55d42920001414dd3,25,2,2,22,2026-03-14 16:40:16.3676760
260,5b4d64a9b8b20a00015a850e,20,0,4,18,2026-03-14 16:40:53.5778595
261,6705977e4d70a709a02b2b4f,13,8,1,31,2026-03-14 16:53:49.0337964
262,695fc3adc91e0de4df9e63e8,20,0,15,9,2026-03-14 16:57:03.1346119
263,5c3a5a61fc2bdf00017714a2,17,0,4,20,2026-03-14 16:58:08.3113101
264,67ca0f025ac00bea9d6fa2ff,25,0,8,42,2026-03-14 18:04:36.4893231
265,66d8b0d36ce7d36e6f850028,17,0,2,30,2026-03-14 18:11:31.3354118
266,663a5fd6be8d75132d5c3e73,21,0,2,30,2026-03-14 18:20:46.2722892
267,5f4a4da1575d605c43bef871,0,20,0,22,2026-03-14 19:00:19.4964699
268,69a5e6f586d61f0e699b64b5,17,0,0,36,2026-03-14 19:06:27.0814476
269,699272bdfe904d1053d03405,13,1,8,28,2026-03-14 19:42:36.0638274
270,6933a234773555df88857a03,21,0,0,27,2026-03-14 20:46:08.2724234
271,69953458bd746094a67ced96,21,0,5,17,2026-03-14 20:47:52.1677181
272,6942a793a0943732e26bc8a2,18,4,10,18,2026-03-14 20:55:14.9403735
273,655e3d32d5562c5520717cfc,18,1,5,23,2026-03-14 21:14:14.8331579
274,652359572fd30ff57dfea7fb,23,0,5,27,2026-03-14 21:16:32.4273269
