id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
36293,698caa3dd8c53ba869e20089,946,0,16,right-6,left,right-dark,light-up,fewer-up,single,2026-03-14 16:08:23.4100000
36294,69abace8fe8e1c23cb4aae7f,955,1,13,right-4,left,right-dark,light-up,greater-up,single,2026-03-14 16:08:25.8260000
36295,69606ec5fd842b942ecc6932,796,1,63,left-5,right,left-dark,light-up,greater-up,single,2026-03-14 16:08:24.6530000
36296,600c167e28de48080e812884,718,1,26,left-0,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:25.2570000
36297,573b8bc2f3580b0006ce0986,1196,1,24,right-4,left,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:25.2180000
36298,698caa3dd8c53ba869e20089,696,1,17,left-2,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:25.4120000
36299,69abace8fe8e1c23cb4aae7f,795,0,14,left-1,right,left-dark,light-up,fewer-up,single,2026-03-14 16:08:27.7880000
36300,69606ec5fd842b942ecc6932,895,1,64,left-3,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:26.9340000
36301,698caa3dd8c53ba869e20089,553,1,18,left-5,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:27.0320000
36302,600c167e28de48080e812884,580,0,27,left-4,left,left-dark,light-up,greater-up,single,2026-03-14 16:08:27.4740000
36303,573b8bc2f3580b0006ce0986,1023,1,25,right-0,left,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:27.2790000
36304,698caa3dd8c53ba869e20089,495,0,19,right-8,right,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:28.8490000
36305,69abace8fe8e1c23cb4aae7f,1740,1,15,left-7,right,left-dark,light-up,greater-up,single,2026-03-14 16:08:30.7440000
36306,69606ec5fd842b942ecc6932,801,1,65,left-4,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:29.0120000
36307,600c167e28de48080e812884,814,1,28,right-2,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:29.7970000
36308,573b8bc2f3580b0006ce0986,997,1,26,left-8,right,left-dark,light-up,greater-up,single,2026-03-14 16:08:29.7450000
36309,69606ec5fd842b942ecc6932,987,0,66,left-7,right,left-dark,light-up,fewer-up,single,2026-03-14 16:08:31.1300000
