participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
5dd877b0568ca582fb24699f,1051,0,0,right-9,left,right-dark,dark-up,greater-up,single,22:59.7
5dd877b0568ca582fb24699f,649,1,1,left-4,left,left-dark,dark-up,greater-up,single,23:01.6
5dd877b0568ca582fb24699f,498,0,2,right-4,right,right-dark,dark-up,fewer-up,single,23:03.2
5dd877b0568ca582fb24699f,459,1,3,right-8,left,right-dark,dark-up,fewer-up,single,23:04.9
5dd877b0568ca582fb24699f,1201,0,4,right-6,left,right-dark,dark-up,greater-up,single,23:07.2
5dd877b0568ca582fb24699f,909,1,5,left-2,left,left-dark,dark-up,greater-up,single,23:09.6
5dd877b0568ca582fb24699f,591,0,6,left-7,left,left-dark,light-up,greater-up,single,23:11.7
5dd877b0568ca582fb24699f,597,0,7,right-9,right,right-dark,light-up,greater-up,single,23:13.3
5dd877b0568ca582fb24699f,393,1,8,left-5,right,left-dark,dark-up,fewer-up,single,23:14.9
5dd877b0568ca582fb24699f,1010,0,9,left-5,right,left-dark,dark-up,greater-up,single,23:17.1
5dd877b0568ca582fb24699f,1472,0,10,right-5,left,right-dark,light-up,fewer-up,single,23:19.7
5dd877b0568ca582fb24699f,575,0,11,right-5,right,right-dark,dark-up,fewer-up,single,23:21.7
5dd877b0568ca582fb24699f,NULL,0,12,left-3,none,left-dark,light-up,fewer-up,single,23:24.0
5dd877b0568ca582fb24699f,790,0,13,right-4,left,right-dark,dark-up,greater-up,single,23:26.6
5dd877b0568ca582fb24699f,261,0,14,left-1,right,left-dark,light-up,fewer-up,single,23:28.1
5dd877b0568ca582fb24699f,226,0,15,left-7,right,left-dark,light-up,fewer-up,single,23:29.4
5dd877b0568ca582fb24699f,266,0,16,right-1,right,right-dark,dark-up,fewer-up,single,23:31.2
5dd877b0568ca582fb24699f,247,1,17,left-1,right,left-dark,dark-up,fewer-up,single,23:32.9
5dd877b0568ca582fb24699f,348,0,18,right-2,right,right-dark,dark-up,fewer-up,single,23:34.7
5dd877b0568ca582fb24699f,317,0,19,left-9,right,left-dark,dark-up,greater-up,single,23:36.5
5dd877b0568ca582fb24699f,679,1,20,right-6,left,right-dark,dark-up,fewer-up,single,23:43.1
672970cd30bdfdbdde8824db,870,0,0,left-6,left,left-dark,light-up,greater-up,single,23:48.2
5dd877b0568ca582fb24699f,1701,0,21,right-3,left,right-dark,dark-up,greater-up,single,23:46.3
672970cd30bdfdbdde8824db,1031,0,1,right-3,right,right-dark,light-up,greater-up,single,23:50.7
5dd877b0568ca582fb24699f,1510,0,22,left-0,right,left-dark,light-up,fewer-up,single,23:49.1
672970cd30bdfdbdde8824db,1006,0,2,right-3,left,right-dark,dark-up,greater-up,single,23:53.3
5dd877b0568ca582fb24699f,1257,0,23,right-5,left,right-dark,dark-up,greater-up,single,23:51.6
672970cd30bdfdbdde8824db,1087,0,3,right-9,right,right-dark,light-up,greater-up,single,23:55.6
5dd877b0568ca582fb24699f,1052,1,24,right-0,left,right-dark,dark-up,fewer-up,single,23:53.7
672970cd30bdfdbdde8824db,1008,1,4,right-5,right,right-dark,dark-up,greater-up,single,23:57.7
5dd877b0568ca582fb24699f,767,0,25,right-2,left,right-dark,light-up,fewer-up,single,23:56.0
672970cd30bdfdbdde8824db,1221,1,5,left-5,right,left-dark,light-up,greater-up,single,24:00.1
5dd877b0568ca582fb24699f,623,1,26,left-7,right,left-dark,dark-up,fewer-up,single,23:58.1
672970cd30bdfdbdde8824db,1596,0,6,left-2,right,left-dark,dark-up,greater-up,single,24:03.1
5dd877b0568ca582fb24699f,1230,0,27,right-0,left,right-dark,light-up,fewer-up,single,24:00.8
672970cd30bdfdbdde8824db,1523,1,7,left-5,right,left-dark,dark-up,fewer-up,single,24:05.9
5dd877b0568ca582fb24699f,1100,1,28,right-5,left,right-dark,light-up,greater-up,single,24:03.1
672970cd30bdfdbdde8824db,1283,1,8,left-7,right,left-dark,light-up,greater-up,single,24:08.5
5dd877b0568ca582fb24699f,1520,1,29,right-3,left,right-dark,dark-up,fewer-up,single,24:05.9
672970cd30bdfdbdde8824db,1285,1,9,left-1,left,left-dark,dark-up,greater-up,single,24:10.9
5dd877b0568ca582fb24699f,845,0,30,right-2,left,right-dark,dark-up,greater-up,single,24:08.0
672970cd30bdfdbdde8824db,1013,1,10,right-7,left,right-dark,dark-up,fewer-up,single,24:13.2
5dd877b0568ca582fb24699f,588,1,31,left-6,right,left-dark,dark-up,fewer-up,single,24:09.8
5dd877b0568ca582fb24699f,669,0,32,right-7,left,right-dark,dark-up,greater-up,single,24:11.7
672970cd30bdfdbdde8824db,1151,1,11,left-4,right,left-dark,dark-up,fewer-up,single,24:15.8
699a5875c790d6761693816a,1257,0,0,left-5,right,left-dark,light-up,fewer-up,single,22:56.5
5dd877b0568ca582fb24699f,610,1,33,left-0,right,left-dark,dark-up,fewer-up,single,24:13.4
672970cd30bdfdbdde8824db,1272,1,12,left-5,left,left-dark,light-up,fewer-up,single,24:18.5
5dd877b0568ca582fb24699f,526,1,34,left-3,right,left-dark,light-up,greater-up,single,24:15.0
699a5875c790d6761693816a,1212,0,1,left-8,left,left-dark,light-up,greater-up,single,22:59.0
5dd877b0568ca582fb24699f,517,0,35,left-8,right,left-dark,light-up,fewer-up,single,24:16.7
664287debe4750708ea0ecf7,NULL,0,0,right-0,none,right-dark,dark-up,greater-up,single,24:17.5
672970cd30bdfdbdde8824db,961,1,13,left-1,left,left-dark,light-up,fewer-up,single,24:21.0
699a5875c790d6761693816a,1547,1,2,left-9,left,left-dark,dark-up,greater-up,single,23:01.7
5dd877b0568ca582fb24699f,706,1,36,left-2,right,left-dark,dark-up,fewer-up,single,24:18.8
5cb67a7ab73e8a001507fae5,827,1,0,right-5,right,right-dark,dark-up,greater-up,single,24:20.5
664287debe4750708ea0ecf7,1218,0,1,right-3,right,right-dark,dark-up,fewer-up,single,24:20.8
699a5875c790d6761693816a,959,1,3,right-5,right,right-dark,light-up,fewer-up,single,23:04.1
672970cd30bdfdbdde8824db,1599,0,14,left-9,left,left-dark,light-up,greater-up,single,24:24.2
5dd877b0568ca582fb24699f,459,1,37,right-7,left,right-dark,light-up,greater-up,single,24:20.4
5cb67a7ab73e8a001507fae5,1114,0,1,right-1,left,right-dark,dark-up,greater-up,single,24:23.0
5dd877b0568ca582fb24699f,560,1,38,left-2,right,left-dark,light-up,greater-up,single,24:22.2
672970cd30bdfdbdde8824db,1206,1,15,left-9,left,left-dark,light-up,fewer-up,single,24:26.4
664287debe4750708ea0ecf7,1297,1,2,left-8,left,left-dark,dark-up,greater-up,single,24:23.4
699a5875c790d6761693816a,1473,0,4,right-9,right,right-dark,light-up,greater-up,single,23:07.1
5cb67a7ab73e8a001507fae5,753,1,2,left-0,left,left-dark,dark-up,greater-up,single,24:25.3
5dd877b0568ca582fb24699f,717,1,39,right-4,left,right-dark,light-up,greater-up,single,24:24.5
672970cd30bdfdbdde8824db,1063,1,16,left-0,left,left-dark,light-up,fewer-up,single,24:28.5
664287debe4750708ea0ecf7,802,0,3,right-7,right,right-dark,dark-up,fewer-up,single,24:25.6
699a5875c790d6761693816a,1204,0,5,right-8,right,right-dark,light-up,greater-up,single,23:09.7
5cb67a7ab73e8a001507fae5,835,0,3,right-5,right,right-dark,light-up,greater-up,single,24:27.3
664287debe4750708ea0ecf7,735,1,4,right-8,right,right-dark,dark-up,greater-up,single,24:27.5
672970cd30bdfdbdde8824db,1096,1,17,right-4,left,right-dark,light-up,greater-up,single,24:30.8
5cb67a7ab73e8a001507fae5,1087,1,4,left-8,left,left-dark,dark-up,greater-up,single,24:29.8
699a5875c790d6761693816a,1531,0,6,left-9,left,left-dark,light-up,greater-up,single,23:12.4
671e55aeca0216c5762de35a,NULL,0,0,left-4,none,left-dark,light-up,greater-up,dual,24:29.9
664287debe4750708ea0ecf7,767,0,5,left-7,left,left-dark,dark-up,fewer-up,single,24:29.7
672970cd30bdfdbdde8824db,952,1,18,left-9,right,left-dark,dark-up,fewer-up,single,24:32.8
5dd877b0568ca582fb24699f,867,0,40,left-9,right,left-dark,light-up,fewer-up,single,24:29.9
699a5875c790d6761693816a,389,1,7,left-8,right,left-dark,dark-up,fewer-up,single,23:14.2
5cb67a7ab73e8a001507fae5,1209,1,5,left-3,right,left-dark,dark-up,fewer-up,single,24:32.2
672970cd30bdfdbdde8824db,979,1,19,left-8,right,left-dark,dark-up,fewer-up,single,24:35.1
5dd877b0568ca582fb24699f,359,0,41,left-4,right,left-dark,light-up,fewer-up,single,24:31.4
664287debe4750708ea0ecf7,930,0,6,left-1,left,left-dark,dark-up,fewer-up,single,24:32.2
5cb67a7ab73e8a001507fae5,871,0,6,right-9,right,right-dark,light-up,greater-up,single,24:34.2
5dd877b0568ca582fb24699f,500,1,42,right-1,left,right-dark,light-up,greater-up,single,24:33.0
699a5875c790d6761693816a,1583,0,8,left-1,right,left-dark,dark-up,greater-up,single,23:17.0
664287debe4750708ea0ecf7,744,1,7,right-7,right,right-dark,light-up,fewer-up,single,24:34.2
699a5875c790d6761693816a,527,0,9,left-0,right,left-dark,dark-up,greater-up,single,23:18.7
5cb67a7ab73e8a001507fae5,903,1,7,right-6,left,right-dark,dark-up,fewer-up,single,24:36.3
5dd877b0568ca582fb24699f,893,0,43,left-3,right,left-dark,dark-up,greater-up,single,24:35.0
664287debe4750708ea0ecf7,692,0,8,right-2,right,right-dark,dark-up,fewer-up,single,24:36.1
699a5875c790d6761693816a,597,0,10,left-4,left,left-dark,dark-up,fewer-up,single,23:20.4
5dd877b0568ca582fb24699f,564,1,44,right-2,left,right-dark,light-up,greater-up,single,24:36.9
5cb67a7ab73e8a001507fae5,1173,1,8,left-2,left,left-dark,light-up,fewer-up,single,24:38.7
664287debe4750708ea0ecf7,1032,1,9,right-1,right,right-dark,dark-up,greater-up,single,24:38.7
699a5875c790d6761693816a,610,0,11,left-0,left,left-dark,light-up,greater-up,single,23:22.2
5dd877b0568ca582fb24699f,480,1,45,right-6,left,right-dark,light-up,greater-up,single,24:38.8
664287debe4750708ea0ecf7,744,0,10,left-8,left,left-dark,light-up,greater-up,single,24:40.5
5cb67a7ab73e8a001507fae5,1500,1,9,left-6,right,left-dark,light-up,greater-up,single,24:41.4
5dd877b0568ca582fb24699f,687,0,46,left-1,right,left-dark,dark-up,greater-up,single,24:40.5
699a5875c790d6761693816a,NULL,0,12,left-1,none,left-dark,dark-up,fewer-up,single,23:24.9
672970cd30bdfdbdde8824db,1039,1,20,right-9,right,right-dark,dark-up,greater-up,single,24:45.6
664287debe4750708ea0ecf7,872,0,11,left-4,left,left-dark,light-up,greater-up,single,24:42.6
5cb67a7ab73e8a001507fae5,888,1,10,right-4,right,right-dark,dark-up,greater-up,single,24:43.5
5dd877b0568ca582fb24699f,538,0,47,right-1,left,right-dark,dark-up,greater-up,single,24:42.4
672970cd30bdfdbdde8824db,756,1,21,right-2,left,right-dark,light-up,greater-up,single,24:47.7
5dd877b0568ca582fb24699f,443,0,48,left-5,left,left-dark,light-up,greater-up,single,24:44.1
699a5875c790d6761693816a,NULL,0,13,left-7,none,left-dark,light-up,greater-up,single,23:28.1
664287debe4750708ea0ecf7,918,1,12,left-0,left,left-dark,light-up,fewer-up,single,24:45.0
5cb67a7ab73e8a001507fae5,886,0,11,left-7,left,left-dark,dark-up,fewer-up,single,24:45.9
5dd877b0568ca582fb24699f,476,1,49,right-0,left,right-dark,light-up,greater-up,single,24:45.9
672970cd30bdfdbdde8824db,956,1,22,right-4,right,right-dark,dark-up,greater-up,single,24:49.7
664287debe4750708ea0ecf7,850,1,13,left-3,left,left-dark,light-up,fewer-up,single,24:47.0
5cb67a7ab73e8a001507fae5,665,1,12,right-9,right,right-dark,dark-up,greater-up,single,24:48.0
699a5875c790d6761693816a,636,1,14,right-8,right,right-dark,light-up,fewer-up,single,23:30.7
5dd877b0568ca582fb24699f,443,1,50,right-3,left,right-dark,light-up,greater-up,single,24:47.7
664287debe4750708ea0ecf7,474,0,14,left-0,right,left-dark,dark-up,greater-up,single,24:48.6
672970cd30bdfdbdde8824db,782,1,23,right-1,left,right-dark,light-up,greater-up,single,24:51.6
5cb67a7ab73e8a001507fae5,1164,1,13,right-2,right,right-dark,dark-up,greater-up,single,24:50.2
699a5875c790d6761693816a,1225,0,15,right-1,right,right-dark,light-up,greater-up,single,23:33.3
5dd877b0568ca582fb24699f,437,1,51,left-9,right,left-dark,light-up,greater-up,single,24:49.4
672970cd30bdfdbdde8824db,855,1,24,right-3,left,right-dark,dark-up,fewer-up,single,24:53.6
664287debe4750708ea0ecf7,1043,0,15,right-4,right,right-dark,light-up,greater-up,single,24:51.1
5dd877b0568ca582fb24699f,494,1,52,left-4,right,left-dark,light-up,greater-up,single,24:51.0
5cb67a7ab73e8a001507fae5,796,0,14,left-8,left,left-dark,light-up,greater-up,single,24:52.5
699a5875c790d6761693816a,614,1,16,left-6,left,left-dark,dark-up,greater-up,single,23:35.1
672970cd30bdfdbdde8824db,1090,1,25,right-2,right,right-dark,dark-up,greater-up,single,24:56.0
664287debe4750708ea0ecf7,673,1,16,right-5,right,right-dark,light-up,fewer-up,single,24:53.2
5dd877b0568ca582fb24699f,589,0,53,right-6,left,right-dark,light-up,fewer-up,single,24:53.0
5cb67a7ab73e8a001507fae5,1122,0,15,right-3,left,right-dark,dark-up,greater-up,single,24:54.9
699a5875c790d6761693816a,1306,0,17,left-2,left,left-dark,light-up,greater-up,single,23:38.0
672970cd30bdfdbdde8824db,883,1,26,left-3,right,left-dark,light-up,greater-up,single,24:58.0
664287debe4750708ea0ecf7,697,1,17,right-6,left,right-dark,light-up,greater-up,single,24:55.0
5dd877b0568ca582fb24699f,490,0,54,right-8,left,right-dark,light-up,fewer-up,single,24:54.6
5cb67a7ab73e8a001507fae5,1339,0,16,right-3,right,right-dark,light-up,greater-up,single,24:57.3
672970cd30bdfdbdde8824db,799,1,27,right-8,right,right-dark,dark-up,greater-up,single,25:00.1
664287debe4750708ea0ecf7,566,0,18,left-6,right,left-dark,light-up,fewer-up,single,24:57.0
5dd877b0568ca582fb24699f,589,0,55,left-4,left,left-dark,dark-up,fewer-up,single,24:56.4
699a5875c790d6761693816a,1623,0,18,right-5,right,right-dark,dark-up,fewer-up,single,23:40.7
5cb67a7ab73e8a001507fae5,565,1,17,right-4,right,right-dark,light-up,fewer-up,single,24:58.9
664287debe4750708ea0ecf7,737,1,19,left-9,left,left-dark,dark-up,greater-up,single,24:59.1
672970cd30bdfdbdde8824db,907,1,28,left-9,left,left-dark,dark-up,greater-up,single,25:02.3
5dd877b0568ca582fb24699f,702,0,56,left-6,right,left-dark,dark-up,greater-up,single,24:58.6
699a5875c790d6761693816a,1275,1,19,right-7,right,right-dark,dark-up,greater-up,single,23:43.5
5cb67a7ab73e8a001507fae5,888,0,18,left-0,left,left-dark,light-up,greater-up,single,25:01.0
5dd877b0568ca582fb24699f,667,0,57,left-6,left,left-dark,light-up,greater-up,single,25:00.6
672970cd30bdfdbdde8824db,1032,1,29,right-9,left,right-dark,dark-up,fewer-up,single,25:04.5
5cb67a7ab73e8a001507fae5,866,0,19,right-8,right,right-dark,dark-up,fewer-up,single,25:03.3
5dd877b0568ca582fb24699f,316,1,58,right-8,left,right-dark,light-up,greater-up,single,25:02.0
672970cd30bdfdbdde8824db,1159,1,30,left-2,right,left-dark,dark-up,fewer-up,single,25:06.9
5dd877b0568ca582fb24699f,504,0,59,right-1,left,right-dark,light-up,fewer-up,single,25:03.9
699a5875c790d6761693816a,1321,1,20,left-0,left,left-dark,light-up,fewer-up,single,23:49.7
672970cd30bdfdbdde8824db,1645,1,31,left-3,right,left-dark,dark-up,fewer-up,single,25:09.9
5cb67a7ab73e8a001507fae5,749,1,20,right-8,right,right-dark,dark-up,greater-up,single,25:09.3
699a5875c790d6761693816a,NULL,0,21,left-7,none,left-dark,light-up,fewer-up,single,23:52.4
672970cd30bdfdbdde8824db,861,1,32,right-8,left,right-dark,dark-up,fewer-up,single,25:12.2
5dd877b0568ca582fb24699f,744,1,60,left-6,left,left-dark,light-up,fewer-up,single,25:08.5
5cb67a7ab73e8a001507fae5,746,1,21,left-5,left,left-dark,dark-up,greater-up,single,25:11.5
5dd877b0568ca582fb24699f,320,1,61,left-0,left,left-dark,dark-up,greater-up,single,25:10.3
672970cd30bdfdbdde8824db,1097,1,33,right-9,right,right-dark,light-up,fewer-up,single,25:14.4
699a5875c790d6761693816a,1169,0,22,right-7,right,right-dark,dark-up,fewer-up,single,23:55.6
664287debe4750708ea0ecf7,1404,1,20,right-9,right,right-dark,dark-up,greater-up,single,25:12.7
5cb67a7ab73e8a001507fae5,755,1,22,left-6,left,left-dark,dark-up,greater-up,single,25:13.4
5dd877b0568ca582fb24699f,513,1,62,left-5,left,left-dark,light-up,fewer-up,single,25:12.2
672970cd30bdfdbdde8824db,1035,1,34,left-2,right,left-dark,light-up,greater-up,single,25:16.6
5dd877b0568ca582fb24699f,575,1,63,right-3,right,right-dark,light-up,fewer-up,single,25:13.9
664287debe4750708ea0ecf7,612,0,21,left-3,left,left-dark,dark-up,fewer-up,single,25:14.8
5cb67a7ab73e8a001507fae5,921,0,23,right-7,right,right-dark,dark-up,fewer-up,single,25:15.9
699a5875c790d6761693816a,1591,1,23,right-7,left,right-dark,light-up,greater-up,single,23:58.6
672970cd30bdfdbdde8824db,1136,1,35,right-2,left,right-dark,dark-up,fewer-up,single,25:19.1
664287debe4750708ea0ecf7,721,1,22,right-4,right,right-dark,dark-up,greater-up,single,25:16.8
5dd877b0568ca582fb24699f,836,1,64,left-7,left,left-dark,dark-up,greater-up,single,25:16.2
5cb67a7ab73e8a001507fae5,803,1,24,right-9,right,right-dark,light-up,fewer-up,single,25:17.9
699a5875c790d6761693816a,834,0,24,right-4,right,right-dark,light-up,greater-up,single,24:00.9
672970cd30bdfdbdde8824db,1038,1,36,left-7,right,left-dark,dark-up,fewer-up,single,25:21.3
5dd877b0568ca582fb24699f,476,0,65,left-0,left,left-dark,light-up,greater-up,single,25:17.7
664287debe4750708ea0ecf7,691,0,23,right-1,right,right-dark,light-up,greater-up,single,25:19.0
5cb67a7ab73e8a001507fae5,1036,0,25,right-2,right,right-dark,dark-up,fewer-up,single,25:20.4
699a5875c790d6761693816a,1155,1,25,right-2,left,right-dark,light-up,greater-up,single,24:03.2
5dd877b0568ca582fb24699f,392,0,66,right-9,right,right-dark,dark-up,fewer-up,single,25:19.2
672970cd30bdfdbdde8824db,729,1,37,right-6,left,right-dark,light-up,greater-up,single,25:23.4
664287debe4750708ea0ecf7,826,0,24,right-8,right,right-dark,light-up,greater-up,single,25:21.1
5dd877b0568ca582fb24699f,479,1,67,right-7,left,right-dark,dark-up,fewer-up,single,25:20.8
5cb67a7ab73e8a001507fae5,936,0,26,right-3,right,right-dark,dark-up,fewer-up,single,25:22.6
699a5875c790d6761693816a,1106,1,26,right-8,right,right-dark,dark-up,greater-up,single,24:05.4
672970cd30bdfdbdde8824db,1019,0,38,left-7,right,left-dark,light-up,fewer-up,single,25:25.5
664287debe4750708ea0ecf7,705,0,25,left-7,left,left-dark,light-up,greater-up,single,25:22.9
5dd877b0568ca582fb24699f,725,0,68,right-4,left,right-dark,light-up,fewer-up,single,25:22.7
5cb67a7ab73e8a001507fae5,742,1,27,left-6,left,left-dark,light-up,fewer-up,single,25:24.9
662f8a3bc02a7f164555439a,1490,1,0,left-9,right,left-dark,light-up,greater-up,single,25:22.8
699a5875c790d6761693816a,1241,0,27,left-5,left,left-dark,dark-up,fewer-up,single,24:07.9
5dd877b0568ca582fb24699f,343,0,69,left-8,left,left-dark,light-up,greater-up,single,25:24.1
664287debe4750708ea0ecf7,739,0,26,right-1,right,right-dark,dark-up,fewer-up,single,25:24.8
672970cd30bdfdbdde8824db,1485,1,39,left-0,right,left-dark,dark-up,fewer-up,single,25:28.1
5cb67a7ab73e8a001507fae5,608,1,28,left-3,left,left-dark,light-up,fewer-up,single,25:26.8
5dd877b0568ca582fb24699f,242,1,70,right-0,right,right-dark,dark-up,greater-up,single,25:25.7
699a5875c790d6761693816a,1114,1,28,left-6,right,left-dark,light-up,greater-up,single,24:10.3
662f8a3bc02a7f164555439a,1750,1,1,left-2,right,left-dark,dark-up,fewer-up,single,25:26.0
664287debe4750708ea0ecf7,1548,0,27,left-1,right,left-dark,light-up,fewer-up,single,25:27.8
5dd877b0568ca582fb24699f,736,0,71,left-8,right,left-dark,dark-up,greater-up,single,25:27.5
5cb67a7ab73e8a001507fae5,789,0,29,right-6,right,right-dark,light-up,greater-up,single,25:29.1
5dd877b0568ca582fb24699f,328,1,72,right-8,right,right-dark,dark-up,greater-up,single,25:29.1
664287debe4750708ea0ecf7,1064,0,28,right-5,right,right-dark,light-up,greater-up,single,25:29.9
699a5875c790d6761693816a,1452,1,29,right-0,right,right-dark,light-up,fewer-up,single,24:13.3
662f8a3bc02a7f164555439a,1260,1,2,left-5,left,left-dark,dark-up,greater-up,single,25:28.5
5cb67a7ab73e8a001507fae5,680,0,30,left-8,left,left-dark,dark-up,fewer-up,single,25:30.9
672970cd30bdfdbdde8824db,1151,1,40,right-7,left,right-dark,light-up,greater-up,single,25:33.7
664287debe4750708ea0ecf7,917,1,29,right-6,right,right-dark,dark-up,greater-up,single,25:32.2
699a5875c790d6761693816a,1214,1,30,right-2,right,right-dark,dark-up,greater-up,single,24:15.6
5cb67a7ab73e8a001507fae5,802,0,31,right-2,right,right-dark,light-up,greater-up,single,25:33.0
662f8a3bc02a7f164555439a,604,1,3,right-4,right,right-dark,light-up,fewer-up,single,25:30.7
5dd877b0568ca582fb24699f,1222,0,73,right-9,left,right-dark,light-up,fewer-up,single,25:31.7
672970cd30bdfdbdde8824db,1301,1,41,right-4,right,right-dark,light-up,fewer-up,single,25:36.1
5dd877b0568ca582fb24699f,101,1,74,left-9,right,left-dark,dark-up,fewer-up,single,25:33.3
662f8a3bc02a7f164555439a,531,0,4,right-5,right,right-dark,light-up,greater-up,single,25:32.5
664287debe4750708ea0ecf7,1271,0,30,right-6,left,right-dark,light-up,fewer-up,single,25:34.8
5cb67a7ab73e8a001507fae5,996,0,32,left-8,right,left-dark,light-up,fewer-up,single,25:35.5
699a5875c790d6761693816a,1442,1,31,left-3,left,left-dark,dark-up,greater-up,single,24:18.5
672970cd30bdfdbdde8824db,934,0,42,right-6,left,right-dark,light-up,fewer-up,single,25:38.3
5dd877b0568ca582fb24699f,350,1,75,left-8,right,left-dark,dark-up,fewer-up,single,25:34.7
60859f820e5009a67adb3921,856,1,0,right-8,right,right-dark,light-up,fewer-up,single,25:35.9
662f8a3bc02a7f164555439a,711,1,5,right-8,right,right-dark,light-up,fewer-up,single,25:34.7
5cb67a7ab73e8a001507fae5,458,1,33,left-7,right,left-dark,light-up,greater-up,single,25:37.3
664287debe4750708ea0ecf7,723,1,31,left-6,left,left-dark,dark-up,greater-up,single,25:36.9
5dd877b0568ca582fb24699f,286,1,76,left-1,right,left-dark,light-up,greater-up,single,25:36.2
672970cd30bdfdbdde8824db,818,1,43,left-0,left,left-dark,dark-up,greater-up,single,25:40.4
699a5875c790d6761693816a,1063,1,32,right-0,left,right-dark,light-up,greater-up,single,24:21.0
60859f820e5009a67adb3921,547,0,1,left-3,right,left-dark,dark-up,greater-up,single,25:37.7
662f8a3bc02a7f164555439a,775,1,6,right-6,right,right-dark,light-up,fewer-up,single,25:36.6
5dd877b0568ca582fb24699f,331,0,77,left-2,right,left-dark,light-up,fewer-up,single,25:37.7
5cb67a7ab73e8a001507fae5,1238,0,34,left-3,right,left-dark,dark-up,greater-up,single,25:39.8
664287debe4750708ea0ecf7,1062,0,32,left-8,left,left-dark,dark-up,fewer-up,single,25:39.2
60859f820e5009a67adb3921,373,1,2,right-2,left,right-dark,dark-up,fewer-up,single,25:39.3
672970cd30bdfdbdde8824db,1334,0,44,right-8,left,right-dark,light-up,fewer-up,single,25:42.9
5dd877b0568ca582fb24699f,287,0,78,right-7,left,right-dark,light-up,fewer-up,single,25:39.2
699a5875c790d6761693816a,1236,1,33,right-4,right,right-dark,dark-up,greater-up,single,24:23.5
662f8a3bc02a7f164555439a,530,0,7,left-6,left,left-dark,light-up,greater-up,single,25:38.7
5cb67a7ab73e8a001507fae5,517,0,35,left-4,left,left-dark,light-up,greater-up,single,25:41.4
5dd877b0568ca582fb24699f,245,1,79,left-3,right,left-dark,dark-up,fewer-up,single,25:40.8
60859f820e5009a67adb3921,518,1,3,left-9,left,left-dark,dark-up,greater-up,single,25:41.3
664287debe4750708ea0ecf7,1188,0,33,left-2,left,left-dark,light-up,greater-up,single,25:41.7
672970cd30bdfdbdde8824db,894,1,45,right-7,right,right-dark,dark-up,greater-up,single,25:45.0
662f8a3bc02a7f164555439a,598,1,8,left-4,left,left-dark,dark-up,greater-up,single,25:40.7
5cb67a7ab73e8a001507fae5,599,0,36,left-2,left,left-dark,light-up,greater-up,single,25:43.1
699a5875c790d6761693816a,1414,1,34,left-5,left,left-dark,dark-up,greater-up,single,24:26.1
60859f820e5009a67adb3921,761,0,4,left-6,right,left-dark,light-up,fewer-up,single,25:43.4
664287debe4750708ea0ecf7,1123,0,34,right-2,left,right-dark,light-up,fewer-up,single,25:44.1
672970cd30bdfdbdde8824db,962,1,46,left-7,left,left-dark,dark-up,greater-up,single,25:47.1
662f8a3bc02a7f164555439a,465,0,9,right-8,right,right-dark,light-up,greater-up,single,25:42.6
5cb67a7ab73e8a001507fae5,813,1,37,left-7,left,left-dark,light-up,fewer-up,single,25:45.3
699a5875c790d6761693816a,1009,1,35,right-6,right,right-dark,dark-up,greater-up,single,24:28.5
672970cd30bdfdbdde8824db,723,1,47,left-0,right,left-dark,light-up,greater-up,single,25:49.0
664287debe4750708ea0ecf7,681,0,35,right-0,right,right-dark,dark-up,fewer-up,single,25:46.0
60859f820e5009a67adb3921,1204,1,5,left-2,right,left-dark,light-up,greater-up,single,25:46.1
5cb67a7ab73e8a001507fae5,762,1,38,right-6,right,right-dark,dark-up,greater-up,single,25:47.1
662f8a3bc02a7f164555439a,1080,1,10,left-3,left,left-dark,light-up,fewer-up,single,25:44.9
699a5875c790d6761693816a,1316,1,36,right-1,left,right-dark,dark-up,fewer-up,single,24:31.2
664287debe4750708ea0ecf7,1112,1,36,left-5,left,left-dark,dark-up,greater-up,single,25:48.2
672970cd30bdfdbdde8824db,858,1,48,right-5,left,right-dark,dark-up,fewer-up,single,25:51.4
5cb67a7ab73e8a001507fae5,565,1,39,right-8,right,right-dark,light-up,fewer-up,single,25:49.1
60859f820e5009a67adb3921,640,1,6,right-8,left,right-dark,light-up,greater-up,single,25:48.2
662f8a3bc02a7f164555439a,651,0,11,left-0,left,left-dark,dark-up,fewer-up,single,25:47.0
699a5875c790d6761693816a,1114,1,37,right-5,left,right-dark,light-up,greater-up,single,24:33.6
672970cd30bdfdbdde8824db,947,1,49,right-0,left,right-dark,light-up,greater-up,single,25:53.4
60859f820e5009a67adb3921,906,0,7,right-5,right,right-dark,light-up,greater-up,single,25:50.5
664287debe4750708ea0ecf7,NULL,0,37,left-8,none,left-dark,light-up,fewer-up,single,25:50.8
662f8a3bc02a7f164555439a,859,1,12,left-8,left,left-dark,dark-up,greater-up,single,25:49.2
696a651a32c5d3c0adb0b7cc,NULL,0,0,right-2,none,right-dark,light-up,greater-up,dual,25:50.8
672970cd30bdfdbdde8824db,1045,1,50,right-1,right,right-dark,dark-up,greater-up,single,25:55.5
699a5875c790d6761693816a,1236,1,38,right-3,left,right-dark,dark-up,fewer-up,single,24:36.1
60859f820e5009a67adb3921,836,1,8,right-0,left,right-dark,light-up,greater-up,single,25:52.8
662f8a3bc02a7f164555439a,997,1,13,right-6,right,right-dark,dark-up,greater-up,single,25:51.7
