participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
69acf86d93afc119933913e5,1143,1,50,left-9,left,left-dark,dark-up,greater-up,dual,51:21.1
615e420a23219efe3427a367,1248,1,59,right-0,left,right-dark,dark-up,fewer-up,dual,51:22.1
69a5c500037701844052c365,875,1,38,left-4,right,left-dark,light-up,greater-up,single,51:21.4
66b3e078bef7d6dd6c53e015,1099,0,31,right-6,right,right-dark,dark-up,fewer-up,dual,51:21.7
6544ff9e0fb2eaaf83e2de5c,1567,0,20,right-1,left,right-dark,dark-up,greater-up,dual,51:21.9
695bd68349914a703c6a9e80,1309,1,45,left-0,right,left-dark,light-up,greater-up,dual,51:22.7
6984a9d17c365f6f621d7fe7,916,1,33,right-2,right,right-dark,light-up,fewer-up,dual,51:21.6
604db6324496c57afe822770,908,1,47,left-9,left,left-dark,light-up,fewer-up,single,51:22.8
5e6ca4b9a2b73d25c187ae61,1171,1,72,left-2,left,left-dark,light-up,fewer-up,single,51:23.6
67e48f46ac070276b3bc9cfa,377,0,45,left-6,left,left-dark,dark-up,fewer-up,single,51:23.0
604fe822b095421e07e3f93e,1054,1,9,left-0,right,left-dark,dark-up,fewer-up,dual,51:22.3
69acf86d93afc119933913e5,1341,0,51,left-8,left,left-dark,dark-up,fewer-up,dual,51:23.8
66b3e078bef7d6dd6c53e015,893,1,32,left-0,left,left-dark,dark-up,greater-up,dual,51:23.9
69a5c500037701844052c365,1333,1,39,right-6,left,right-dark,light-up,greater-up,single,51:24.2
6984a9d17c365f6f621d7fe7,1020,1,34,left-1,right,left-dark,dark-up,fewer-up,dual,51:23.9
6544ff9e0fb2eaaf83e2de5c,1552,0,21,right-7,right,right-dark,dark-up,fewer-up,dual,51:24.7
695bd68349914a703c6a9e80,1447,0,46,left-6,right,left-dark,light-up,fewer-up,dual,51:25.6
67e48f46ac070276b3bc9cfa,519,1,46,right-6,left,right-dark,light-up,greater-up,single,51:25.0
604db6324496c57afe822770,1217,1,48,right-1,right,right-dark,light-up,fewer-up,single,51:25.3
5e6ca4b9a2b73d25c187ae61,1254,1,73,left-5,left,left-dark,light-up,fewer-up,single,51:26.1
604fe822b095421e07e3f93e,1022,1,10,left-2,left,left-dark,light-up,fewer-up,dual,51:24.5
66b3e078bef7d6dd6c53e015,956,1,33,right-3,right,right-dark,light-up,fewer-up,dual,51:26.0
60bc8860d04f4ac80d319a5c,NULL,0,60,right-0,none,right-dark,dark-up,fewer-up,dual,51:25.8
65fcab5ed252c205f819b116,1511,0,20,left-1,right,left-dark,dark-up,greater-up,dual,51:26.6
6984a9d17c365f6f621d7fe7,850,1,35,right-6,right,right-dark,dark-up,greater-up,dual,51:25.8
69acf86d93afc119933913e5,1234,1,52,left-3,right,left-dark,dark-up,fewer-up,dual,51:26.4
6544ff9e0fb2eaaf83e2de5c,1253,0,22,left-9,right,left-dark,light-up,fewer-up,dual,51:27.3
67e48f46ac070276b3bc9cfa,621,0,47,left-4,left,left-dark,dark-up,fewer-up,single,51:27.6
695bd68349914a703c6a9e80,1528,1,47,left-6,left,left-dark,dark-up,greater-up,dual,51:28.5
604fe822b095421e07e3f93e,999,1,11,left-4,right,left-dark,dark-up,fewer-up,dual,51:26.9
604db6324496c57afe822770,1624,1,49,right-0,left,right-dark,dark-up,fewer-up,single,51:28.0
5e6ca4b9a2b73d25c187ae61,1137,1,74,left-1,right,left-dark,dark-up,fewer-up,single,51:28.8
66b3e078bef7d6dd6c53e015,819,1,34,left-6,left,left-dark,dark-up,greater-up,dual,51:28.3
6984a9d17c365f6f621d7fe7,784,1,36,right-5,right,right-dark,light-up,fewer-up,dual,51:27.7
65fcab5ed252c205f819b116,1196,1,21,left-6,left,left-dark,dark-up,greater-up,dual,51:29.0
69acf86d93afc119933913e5,1267,1,53,left-7,left,left-dark,dark-up,greater-up,dual,51:28.8
