Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69b57cd7e85a6786f651b7cd,5dd877b0568ca582fb24699f,APPROVED,Not Applicable,2026-03-14T15:20:59.226000Z,2026-03-14T15:25:54.456000Z,2026-03-17T18:50:21.032000Z,2026-03-14T15:25:54.787969Z,296.0,COP6XTA3,5996,Woman (including Trans Female/Trans Woman),White,63,Female,White,United States,United States,United States,English,No,Full-Time
69b57cd905db00ce395b561f,664287debe4750708ea0ecf7,APPROVED,Not Applicable,2026-03-14T15:21:02.017000Z,2026-03-14T15:27:46.954000Z,2026-03-17T18:50:21.436000Z,2026-03-14T15:27:47.328151Z,405.0,COP6XTA3,5573,Woman (including Trans Female/Trans Woman),White,62,Female,White,United States,United States,United States,English,No,Full-Time
69b57cdeda47324b8c749e0b,60859f820e5009a67adb3921,APPROVED,Not Applicable,2026-03-14T15:21:05.845000Z,2026-03-14T15:28:32.020000Z,2026-03-17T18:50:21.877000Z,2026-03-14T15:28:32.369556Z,447.0,COP6XTA3,5695,Woman (including Trans Female/Trans Woman),White,58,Female,White,United States,United States,United States,English,No,Full-Time
69b57ce2897d6d652fbd1b10,662f8a3bc02a7f164555439a,APPROVED,Not Applicable,2026-03-14T15:21:14.620000Z,2026-03-14T15:29:47.491000Z,2026-03-17T18:50:22.391000Z,2026-03-14T15:29:47.858821Z,513.0,COP6XTA3,1722,Woman (including Trans Female/Trans Woman),White,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b57ce2d163ba0354c309bd,699a5875c790d6761693816a,APPROVED,Not Applicable,2026-03-14T15:21:12.515000Z,2026-03-14T15:27:58.430000Z,2026-03-17T18:50:22.799000Z,2026-03-14T15:27:58.786877Z,406.0,COP6XTA3,12,Woman (including Trans Female/Trans Woman),White,55,Female,Prefer not to say,United States,United States,United States,English,No,Full-Time
69b57ce86e55f074f36e6cc1,672970cd30bdfdbdde8824db,APPROVED,Not Applicable,2026-03-14T15:21:18.716000Z,2026-03-14T15:27:20.045000Z,2026-03-17T18:50:23.223000Z,2026-03-14T15:27:20.401706Z,362.0,COP6XTA3,214,Woman (including Trans Female/Trans Woman),White,25,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
69b57cea983eafd25e8e2b58,5cb67a7ab73e8a001507fae5,APPROVED,Not Applicable,2026-03-14T15:21:26.499000Z,2026-03-14T15:27:36.483000Z,2026-03-17T18:50:23.567000Z,2026-03-14T15:27:36.854613Z,370.0,COP6XTA3,16176,Man (including Trans Male/Trans Man),White,55,Male,White,United States,United States,United States,English,Yes,Full-Time
69b580c26b447cf009e8fb21,5d23cee7771223001647e8c7,APPROVED,Not Applicable,2026-03-14T15:37:42.161000Z,2026-03-14T15:45:55.627000Z,2026-03-17T18:50:23.955000Z,2026-03-14T15:45:55.986180Z,494.0,COP6XTA3,4163,Woman (including Trans Female/Trans Woman),White,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b580cb5f3382ca5e152574,610008383c0a128712403745,APPROVED,Not Applicable,2026-03-14T15:38:00.888000Z,2026-03-14T15:46:44.187000Z,2026-03-17T18:50:24.367000Z,2026-03-14T15:46:44.570772Z,524.0,COP6XTA3,7465,Woman (including Trans Female/Trans Woman),White,47,Female,White,United States,United States,United States,English,No,Full-Time
69b5813928127a09ccf94bc9,5d29d6bd30fa6f0015cd4a75,APPROVED,Not Applicable,2026-03-14T15:39:40.905000Z,2026-03-14T15:46:45.919000Z,2026-03-17T18:50:24.758000Z,2026-03-14T15:46:46.269886Z,426.0,COP6XTA3,5534,Man (including Trans Male/Trans Man),White,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69b5813c6a43d09821c0f529,69a20ec7c6f01fa94b78c644,APPROVED,Not Applicable,2026-03-14T15:39:43.873000Z,2026-03-14T15:46:04.252000Z,2026-03-17T18:50:25.044000Z,2026-03-14T15:46:04.671308Z,381.0,COP6XTA3,22,Man (including Trans Male/Trans Man),White,22,Male,Prefer not to say,United States,United States,United States,English,Yes,Unemployed (and job seeking)
69b5814741c9689af50f930d,5f171b6978c6ae032e458f06,APPROVED,Not Applicable,2026-03-14T15:39:55.097000Z,2026-03-14T15:47:33.793000Z,2026-03-17T18:50:25.346000Z,2026-03-14T15:47:34.298368Z,459.0,COP6XTA3,2093,Woman (including Trans Female/Trans Woman),White,41,Female,White,United States,United States,United States,English,No,Full-Time
69b58148d17463a09596c586,604db6324496c57afe822770,APPROVED,Not Applicable,2026-03-14T15:44:10.618000Z,2026-03-14T15:53:09.913000Z,2026-03-17T18:50:25.620000Z,2026-03-14T15:53:10.284627Z,540.0,COP6XTA3,3804,Woman (including Trans Female/Trans Woman),East Asian,47,Female,Asian,Macao,United States,United States,Chinese,No,Full-Time
69b581516a782f3875269b5e,5eacb97b5eaaf53389bfb8a2,APPROVED,Not Applicable,2026-03-14T15:40:05.821000Z,2026-03-14T15:46:47.213000Z,2026-03-17T18:50:25.881000Z,2026-03-14T15:46:47.587370Z,402.0,COP6XTA3,1444,Man (including Trans Male/Trans Man),White,43,Male,White,United States,United States,United States,English,No,Full-Time
69b581bdf6437b3cadbd585b,5f4dc39ffc6fe9aa6901cc6d,APPROVED,Not Applicable,2026-03-14T15:44:25.345000Z,2026-03-14T16:00:44.505000Z,2026-03-17T18:50:26.181000Z,2026-03-14T16:00:45.011561Z,980.0,COP6XTA3,1330,Man (including Trans Male/Trans Man),Mixed,38,Male,White,United States,United States,United States,English,No,Full-Time
69b581d4d7b21dd353bd1b50,5e6ca4b9a2b73d25c187ae61,APPROVED,Not Applicable,2026-03-14T15:42:40.163000Z,2026-03-14T15:52:08.167000Z,2026-03-17T18:50:26.466000Z,2026-03-14T15:52:08.553016Z,569.0,COP6XTA3,5111,Man (including Trans Male/Trans Man),White,42,Male,White,United States,United States,United States,English,No,Full-Time
69b581e2f6d5b21b4c0c010a,5d93b788fdfe9d001c00c255,APPROVED,Not Applicable,2026-03-14T15:42:30.093000Z,2026-03-14T15:49:53.050000Z,2026-03-17T18:50:26.816000Z,2026-03-14T15:49:53.394788Z,443.0,COP6XTA3,5988,Woman (including Trans Female/Trans Woman),White,46,Female,White,United States,United States,United States,English,No,Full-Time
69b581fb4005158a77eed6fd,55d234b45bc5bc0005d9039d,APPROVED,Not Applicable,2026-03-14T15:42:54.848000Z,2026-03-14T15:49:40.662000Z,2026-03-17T18:50:27.410000Z,2026-03-14T15:49:41.026847Z,406.0,COP6XTA3,2465,Man (including Trans Male/Trans Man),White,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69b5822494ff168c53039576,67e48f46ac070276b3bc9cfa,APPROVED,Not Applicable,2026-03-14T15:43:39.880000Z,2026-03-14T15:54:23.514000Z,2026-03-17T18:50:27.705000Z,2026-03-14T15:54:23.981773Z,644.0,COP6XTA3,1079,Man (including Trans Male/Trans Man),Black/African American,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b5823008ff9397bb4f2828,67a7d4e19fee63cbe222ae02,APPROVED,Not Applicable,2026-03-14T15:51:52.756000Z,2026-03-14T16:01:10.055000Z,2026-03-17T18:50:28.033000Z,2026-03-14T16:01:10.442933Z,558.0,COP6XTA3,2136,Man (including Trans Male/Trans Man),Latino/Hispanic,23,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b5824d367de811b7f76e43,6989f01e85ed4cec632af20e,APPROVED,Not Applicable,2026-03-14T15:44:16.797000Z,2026-03-14T15:51:08.625000Z,2026-03-17T18:50:28.323000Z,2026-03-14T15:51:08.987051Z,412.0,COP6XTA3,563,Woman (including Trans Female/Trans Woman),White,54,Female,White,United States,United States,United States,English,No,Full-Time
69b5825b227e846cefb00591,63483c4522d65d46028da7a7,APPROVED,Not Applicable,2026-03-14T15:44:31.997000Z,2026-03-14T15:48:21.111000Z,2026-03-17T18:50:28.613000Z,2026-03-14T15:48:21.451542Z,230.0,COP6XTA3,7799,Man (including Trans Male/Trans Man),White,35,Male,White,United States,United States,United States,English,No,Full-Time
69b5826f39c0d13f73caec0d,600c167e28de48080e812884,APPROVED,Not Applicable,2026-03-14T15:44:55.020000Z,2026-03-14T16:11:14.275000Z,2026-03-17T18:50:28.922000Z,2026-03-14T16:11:14.632135Z,1580.0,COP6XTA3,11141,Man (including Trans Male/Trans Man),White,59,Male,White,United States,United States,United States,English,No,Full-Time
69b582c8e97d9981de76aec5,69a5c500037701844052c365,APPROVED,Not Applicable,2026-03-14T15:46:22.028000Z,2026-03-14T15:53:26.169000Z,2026-03-17T18:50:29.301000Z,2026-03-14T15:53:26.616971Z,425.0,COP6XTA3,58,Woman (including Trans Female/Trans Woman),East Asian,31,Female,Mixed,United States,United States,United States,English,No,Full-Time
69b583200af7b5cdaae42b44,67a5c89e37476046227e6616,APPROVED,Not Applicable,2026-03-14T15:55:49.486000Z,2026-03-14T16:11:49.196000Z,2026-03-17T18:50:29.610000Z,2026-03-14T16:11:49.579303Z,960.0,COP6XTA3,699,Man (including Trans Male/Trans Man),South East Asian,25,Male,Asian,United States,United States,Vietnam,Vietnamese,Yes,Full-Time
69b58339a86ac762205db74a,695f9da1eba3887a2214b9f6,APPROVED,Not Applicable,2026-03-14T15:48:13.882000Z,2026-03-14T15:56:18.695000Z,2026-03-17T18:50:29.902000Z,2026-03-14T15:56:19.208479Z,485.0,COP6XTA3,401,Woman (including Trans Female/Trans Woman),White,25,Female,White,United States,United States,United States,English,No,Part-Time
69b5833df17cee1245714469,60dfd857e293a99dd577f4c8,APPROVED,Not Applicable,2026-03-14T15:54:07.369000Z,2026-03-14T16:02:27.219000Z,2026-03-17T18:50:31.067000Z,2026-03-14T16:02:27.634390Z,500.0,COP6XTA3,13891,Woman (including Trans Female/Trans Woman),White,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b5833e94cb684b4d1bc470,698bd173e4842a5bd8ad85bb,APPROVED,Not Applicable,2026-03-14T15:48:19.010000Z,2026-03-14T15:55:01.467000Z,2026-03-17T18:50:31.396000Z,2026-03-14T15:55:01.839132Z,403.0,COP6XTA3,140,Woman (including Trans Female/Trans Woman),South Asian,23,Female,Asian,United States,United States,United States,English,No,Full-Time
69b583a0288b75249c4c22ba,672ca130c5f43c5ed7d5d4b8,APPROVED,Not Applicable,2026-03-14T15:49:56.892000Z,2026-03-14T16:03:06.939000Z,2026-03-17T18:50:31.703000Z,2026-03-14T16:03:07.296849Z,791.0,COP6XTA3,2882,Woman (including Trans Female/Trans Woman),White,49,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b583acc44101a20c6bdc26,63852fbf95d78ba25b99005e,APPROVED,Not Applicable,2026-03-14T15:50:13.097000Z,2026-03-14T16:07:26.170000Z,2026-03-17T18:50:32.101000Z,2026-03-14T16:07:26.820842Z,1034.0,COP6XTA3,8614,Woman (including Trans Female/Trans Woman),White,58,Female,White,United States,United States,United States,English,No,Full-Time
69b583b1c3e3ada5bea0125e,69ab54719141883544a6c1b6,APPROVED,Not Applicable,2026-03-14T15:50:13.480000Z,2026-03-14T15:56:09.478000Z,2026-03-17T18:50:32.629000Z,2026-03-14T15:56:09.932644Z,356.0,COP6XTA3,21,Woman (including Trans Female/Trans Woman),White,25,Female,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
69b583baeeee5519b71cc293,61084e45d53567348ae45e57,APPROVED,Not Applicable,2026-03-14T15:50:22.639000Z,2026-03-14T15:59:49.436000Z,2026-03-17T18:50:32.908000Z,2026-03-14T15:59:49.814330Z,567.0,COP6XTA3,3388,Woman (including Trans Female/Trans Woman),White,49,Female,White,United States,United States,United States,English,No,Full-Time
69b583c795fb7fdde04e0de6,67a610387d56a92a9e3757a5,APPROVED,Not Applicable,2026-03-14T15:50:35.139000Z,2026-03-14T15:58:11Z,2026-03-17T18:50:33.287000Z,2026-03-14T15:58:11.454051Z,456.0,COP6XTA3,1211,Woman (including Trans Female/Trans Woman),White,55,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b583e6f3fb5aa611b81f74,66eb1a41306925cf993d6490,APPROVED,Not Applicable,2026-03-14T15:51:06.469000Z,2026-03-14T15:57:53.662000Z,2026-03-17T18:50:33.552000Z,2026-03-14T15:57:54.085914Z,408.0,COP6XTA3,6093,Man (including Trans Male/Trans Man),White,37,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69b584947373fb93a06a4fed,6966aef7933ed17148cf77d0,APPROVED,Not Applicable,2026-03-14T15:54:00.601000Z,2026-03-14T16:00:24.843000Z,2026-03-17T18:50:33.911000Z,2026-03-14T16:00:25.244117Z,385.0,COP6XTA3,453,Man (including Trans Male/Trans Man),East Asian,30,Male,Asian,United States,United States,United States,English,Yes,Full-Time
69b584acebad0f13fe853fb8,5dad4c34b3446a0015e3de93,APPROVED,Not Applicable,2026-03-14T15:54:24.058000Z,2026-03-14T16:02:29.153000Z,2026-03-17T18:50:34.217000Z,2026-03-14T16:02:29.488233Z,486.0,COP6XTA3,6125,Man (including Trans Male/Trans Man),White,33,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69b584df26c9d3c110024320,66b8cf43cc43c649a591c3b6,APPROVED,Not Applicable,2026-03-14T15:55:16.929000Z,2026-03-14T16:02:12.068000Z,2026-03-17T18:50:34.489000Z,2026-03-14T16:02:12.442423Z,416.0,COP6XTA3,1891,Man (including Trans Male/Trans Man),White,61,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b58525135ef1b59d2ee269,69ac82ae94c6c87d2180547f,APPROVED,Not Applicable,2026-03-14T15:56:27.037000Z,2026-03-14T16:02:41.164000Z,2026-03-17T18:50:34.859000Z,2026-03-14T16:02:41.543857Z,375.0,COP6XTA3,81,Man (including Trans Male/Trans Man),Black/African American,33,Male,Black,United States,United States,United States,English,No,Part-Time
69b585fb670f0a1279cae810,69606ec5fd842b942ecc6932,APPROVED,Not Applicable,2026-03-14T16:00:02.315000Z,2026-03-14T16:09:17.105000Z,2026-03-17T18:50:35.174000Z,2026-03-14T16:09:17.592012Z,555.0,COP6XTA3,631,Man (including Trans Male/Trans Man),White,35,Male,White,United States,United States,United States,English,No,Part-Time
