id,participant_id,duration,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
5298,66dcb77e1afbc2e7fa393b87,2175.7000000476837,2175.7000000476837,1,28,left-5,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:35:32.3840000
5299,588e02b13326830001bc29cd,1341.9000000953674,1341.9000000953674,1,56,right-8,right,right-dark,dark-up,greater-up,single,2026-02-17 21:35:32.8620000
5300,67325d10b9e0c58d803cd7ba,1432.5,1432.5,0,50,right-1,right,right-dark,dark-up,fewer-up,dual,2026-02-17 21:35:33.2910000
5301,588e02b13326830001bc29cd,1029.2999999523163,1029.2999999523163,1,57,right-9,right,right-dark,dark-up,greater-up,single,2026-02-17 21:35:34.4050000
5302,66305c77f66c14d7ca20647d,2023,2023,1,2,right-8,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:34.7360000
5303,66dcb77e1afbc2e7fa393b87,2660.5999999046326,2660.5999999046326,1,29,left-0,right,left-dark,dark-up,fewer-up,dual,2026-02-17 21:35:35.5560000
5304,698e1bdaffae8699322bb097,5273.599999997765,5273.599999997765,0,11,right-2,right,right-dark,light-up,greater-up,dual,2026-02-17 21:35:35.4510000
5305,588e02b13326830001bc29cd,2059.4000000953674,2059.4000000953674,1,58,right-7,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:35:36.9720000
5306,67325d10b9e0c58d803cd7ba,2053.800000190735,2053.800000190735,1,51,right-4,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:35:36.8560000
5307,66dcb77e1afbc2e7fa393b87,1328.7000000476837,1328.7000000476837,1,30,right-9,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:37.3900000
5308,698e1bdaffae8699322bb097,1026.800000000745,1026.800000000745,1,12,right-4,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:37.9820000
5309,66dcb77e1afbc2e7fa393b87,1468.7999999523163,1468.7999999523163,1,31,right-6,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:39.3640000
5310,588e02b13326830001bc29cd,1792.5999999046326,1792.5999999046326,1,59,right-0,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:35:39.2720000
5311,67325d10b9e0c58d803cd7ba,1863.1999998092651,1863.1999998092651,1,52,right-2,left,right-dark,light-up,greater-up,dual,2026-02-17 21:35:39.2340000
